team,scorer,goals_total,op_goals_w,pen_goals_w,matches_w,op_rate,pen_rate,last_date
Thailand,Nirut Surasiang,2,0.008,0.0,45.2,0.0002,0.0,2007-10-15
Jordan,Hatem Aqel,2,0.002,0.006,54.5,0.0,0.0001,2007-10-28
Jamaica,Ricardo Gardner,2,0.008,0.0,50.0,0.0002,0.0,2008-06-15
Jamaica,Tyrone Marshall,2,0.008,0.0,50.0,0.0002,0.0,2008-06-18
Peru,Roberto Palacios,14,0.008,0.0,40.0,0.0002,0.0,2004-07-06
Tunisia,Zoubeir Baya,12,0.008,0.0,52.8,0.0001,0.0,2001-07-15
United States,Steve Ralston,3,0.008,0.0,57.9,0.0001,0.0,2005-09-03
China,Xu Yunlong,5,0.008,0.0,32.8,0.0002,0.0,2004-11-17
Haiti,Leonel Saint-Preux,1,0.008,0.0,35.3,0.0002,0.0,2008-11-19
Costa Rica,Freddy Fernández,1,0.008,0.0,49.0,0.0002,0.0,2008-11-19
Japan,Tatsuya Tanaka,1,0.008,0.0,46.4,0.0002,0.0,2008-11-19
Czech Republic,Zdeněk Pospěch,1,0.008,0.0,42.5,0.0002,0.0,2008-11-19
United Arab Emirates,Abdulrahim Jumaa,1,0.008,0.0,43.9,0.0002,0.0,2008-11-19
Hungary,Krisztián Lisztes,5,0.008,0.0,38.7,0.0002,0.0,2003-09-10
Poland,Kamil Kosowski,3,0.007,0.0,40.6,0.0002,0.0,2005-09-03
France,Robert Pires,6,0.006,0.002,47.7,0.0001,0.0,2003-06-26
Ukraine,Serhii Rebrov,9,0.006,0.002,39.0,0.0001,0.0,2006-06-19
Oman,Fawzi Bashir,3,0.007,0.0,47.1,0.0002,0.0,2007-10-08
Colombia,Edixon Perea,2,0.007,0.0,45.0,0.0002,0.0,2007-07-02
Zambia,Harry Milanzi,5,0.007,0.0,37.2,0.0002,0.0,2004-06-19
Brazil,Roberto Carlos,3,0.007,0.0,45.1,0.0002,0.0,2005-10-12
Serbia,Ivan Obradović,1,0.007,0.0,39.4,0.0002,0.0,2008-10-15
Armenia,Vahagn Minasyan,1,0.007,0.0,34.4,0.0002,0.0,2008-10-15
Ecuador,Isaac Mina,1,0.007,0.0,44.1,0.0002,0.0,2008-10-15
Germany,Piotr Trochowski,1,0.007,0.0,46.1,0.0002,0.0,2008-10-15
North Korea,Jong Tae-Se,1,0.007,0.0,17.6,0.0004,0.0,2008-10-15
Cuba,Allianni Urgelles,1,0.007,0.0,29.0,0.0003,0.0,2008-10-15
Venezuela,Alejandro Moreno,1,0.007,0.0,37.3,0.0002,0.0,2008-10-15
Belarus,Pavel Sitko,1,0.007,0.0,36.2,0.0002,0.0,2008-10-15
Costa Rica,Júnior Díaz,1,0.007,0.0,49.0,0.0002,0.0,2008-10-15
Nigeria,Garba Lawal,4,0.007,0.0,48.4,0.0002,0.0,2006-02-09
Kenya,Francis Ouma,1,0.007,0.0,30.5,0.0002,0.0,2008-10-12
Niger,Moussa Mallam,1,0.007,0.0,30.9,0.0002,0.0,2008-10-12
Zimbabwe,Cuthbert Malajila,1,0.007,0.0,30.5,0.0002,0.0,2008-10-11
Tanzania,Athuman Iddy,1,0.007,0.0,36.1,0.0002,0.0,2008-10-11
Latvia,Deniss Ivanovs,1,0.007,0.0,34.6,0.0002,0.0,2008-10-11
Cuba,Jensy Muñoz,1,0.007,0.0,29.0,0.0003,0.0,2008-10-11
Tunisia,Fahid Ben Khalfallah,1,0.007,0.0,52.8,0.0001,0.0,2008-10-11
Tunisia,Saber Ben Frej,1,0.007,0.0,52.8,0.0001,0.0,2008-10-11
Morocco,Merouane Zemmama,1,0.007,0.0,57.3,0.0001,0.0,2008-10-11
Czech Republic,Martin Fenin,1,0.007,0.0,42.5,0.0002,0.0,2008-10-11
Tunisia,Yassin Mikari,1,0.007,0.0,52.8,0.0001,0.0,2008-10-11
Israel,Salim Tuama,1,0.007,0.0,32.0,0.0002,0.0,2008-10-11
Spain,Juan Gutiérrez Moreno,1,0.007,0.0,47.3,0.0002,0.0,2008-10-11
Faroe Islands,Bogi Løkin,1,0.007,0.0,33.9,0.0002,0.0,2008-10-11
Tanzania,Khalfan Ngassa,1,0.007,0.0,36.1,0.0002,0.0,2008-10-11
Honduras,Hendry Thomas,1,0.007,0.0,43.8,0.0002,0.0,2008-10-11
Nigeria,Chidi Odiah,1,0.007,0.0,48.4,0.0002,0.0,2008-10-11
Poland,Paweł Brożek,1,0.007,0.0,40.6,0.0002,0.0,2008-10-11
Cape Verde,José Filipe Correia Semedo,1,0.007,0.0,38.7,0.0002,0.0,2008-10-11
Mozambique,Eugenio Fernando Bila,1,0.007,0.0,37.2,0.0002,0.0,2008-10-11
Kazakhstan,Zhambyl Kukeyev,1,0.007,0.0,35.6,0.0002,0.0,2008-10-11
Mauritania,Dahmed Ould Teguedi,1,0.007,0.0,35.9,0.0002,0.0,2008-10-11
Senegal,Kader Mangane,1,0.007,0.0,51.4,0.0001,0.0,2008-10-11
Canada,Andrew Hainault,1,0.007,0.0,46.0,0.0002,0.0,2008-10-11
Belgium,Kevin Vandenbergh,2,0.007,0.0,44.8,0.0002,0.0,2006-10-11
Israel,Walid Badir,4,0.007,0.0,32.0,0.0002,0.0,2005-03-30
Turkey,Arif Erdem,9,0.007,0.0,43.9,0.0002,0.0,2002-09-07
Sierra Leone,Mohamed Kallon,3,0.001,0.007,24.8,0.0,0.0003,2008-06-14
France,Ludovic Giuly,3,0.007,0.0,47.7,0.0002,0.0,2005-10-12
Denmark,Martin Laursen,2,0.007,0.0,41.0,0.0002,0.0,2007-09-12
Germany,Fredi Bobić,5,0.007,0.0,46.1,0.0002,0.0,2003-10-11
Saint Kitts and Nevis,Keith Gumbs,7,0.004,0.003,26.8,0.0002,0.0001,2004-10-10
Chile,Ismael Fuentes,1,0.007,0.0,40.1,0.0002,0.0,2008-09-10
Spain,Marcos Senna,1,0.007,0.0,47.3,0.0002,0.0,2008-09-10
Scotland,Kirk Broadfoot,1,0.007,0.0,41.1,0.0002,0.0,2008-09-10
Belarus,Vyacheslav Hleb,1,0.007,0.0,36.2,0.0002,0.0,2008-09-10
New Zealand,Jeremy Christie,1,0.007,0.0,32.7,0.0002,0.0,2008-09-10
Sudan,Saif Eldin Ali Idris Farah,1,0.007,0.0,35.2,0.0002,0.0,2008-09-10
Finland,Daniel Sjölund,1,0.007,0.0,38.2,0.0002,0.0,2008-09-10
Israel,Klemi Saban,1,0.007,0.0,32.0,0.0002,0.0,2008-09-10
Sudan,Ahmed Aadil,1,0.007,0.0,35.2,0.0002,0.0,2008-09-10
Albania,Armend Dallku,1,0.007,0.0,37.6,0.0002,0.0,2008-09-10
Sweden,Samuel Holmén,1,0.007,0.0,43.6,0.0002,0.0,2008-09-10
Haiti,Jean Sony Alcénat,1,0.007,0.0,35.3,0.0002,0.0,2008-09-10
Romania,Răzvan Cociş,1,0.007,0.0,38.6,0.0002,0.0,2008-09-10
Moldova,Igor Picușceac,1,0.007,0.0,36.5,0.0002,0.0,2008-09-10
Mozambique,Miro,1,0.007,0.0,37.2,0.0002,0.0,2008-09-07
Madagascar,Stephan Rabemananjara,1,0.007,0.0,29.7,0.0002,0.0,2008-09-07
Benin,Khaled Adénon,1,0.007,0.0,33.0,0.0002,0.0,2008-09-07
Angola,Locó,1,0.007,0.0,37.0,0.0002,0.0,2008-09-07
Georgia,Levan Kenia,1,0.007,0.0,37.4,0.0002,0.0,2008-09-06
Tanzania,Nizar Khalfan,1,0.007,0.0,36.1,0.0002,0.0,2008-09-06
Tanzania,Shadrack Nsajigwa,1,0.007,0.0,36.1,0.0002,0.0,2008-09-06
Chad,Syriakata Hassan,1,0.007,0.0,18.6,0.0004,0.0,2008-09-06
Mexico,Jonny Magallón,1,0.007,0.0,63.7,0.0001,0.0,2008-09-06
Rwanda,Bobo Bola,1,0.007,0.0,26.2,0.0003,0.0,2008-09-06
Germany,Simon Rolfes,1,0.007,0.0,46.1,0.0002,0.0,2008-09-06
Qatar,Talal Al-Bloushi,1,0.007,0.0,54.5,0.0001,0.0,2008-09-06
Cape Verde,Lito,1,0.007,0.0,38.7,0.0002,0.0,2008-09-06
Qatar,Majdi Siddiq,1,0.007,0.0,54.5,0.0001,0.0,2008-09-06
Gambia,Ousman Jallow,1,0.007,0.0,27.3,0.0003,0.0,2008-09-06
Equatorial Guinea,Rodolfo Bodipo,1,0.0,0.007,33.7,0.0,0.0002,2008-09-06
Kenya,Jamal Mohamed,1,0.0,0.007,30.5,0.0,0.0002,2008-09-06
Fiji,Salesh Kumar,1,0.007,0.0,23.2,0.0003,0.0,2008-09-06
Cameroon,Somen Tchoyi,1,0.007,0.0,40.1,0.0002,0.0,2008-09-06
Canada,Adrian Serioux,1,0.007,0.0,46.0,0.0002,0.0,2008-09-06
Chad,Marius Mbaiam,1,0.007,0.0,18.6,0.0004,0.0,2008-09-06
El Salvador,César Larios,1,0.007,0.0,44.1,0.0002,0.0,2008-09-06
Zambia,Elijah Tana,3,0.007,0.0,37.2,0.0002,0.0,2006-01-26
Malawi,Atusaye Nyondo,1,0.007,0.0,33.7,0.0002,0.0,2008-09-05
Iceland,Tryggvi Guðmundsson,6,0.007,0.0,42.1,0.0002,0.0,2005-06-08
Nigeria,John Utaka,3,0.007,0.0,48.4,0.0001,0.0,2005-09-04
Scotland,Barry Ferguson,2,0.007,0.0,41.1,0.0002,0.0,2007-11-17
Spain,Joseba Etxeberria,8,0.007,0.0,47.3,0.0001,0.0,2003-11-19
Haiti,Brunel Fucien,1,0.007,0.0,35.3,0.0002,0.0,2008-08-20
Kazakhstan,Roman Uzdenov,1,0.007,0.0,35.6,0.0002,0.0,2008-08-20
Haiti,Frantz Bertin,1,0.007,0.0,35.3,0.0002,0.0,2008-08-20
Taiwan,Huang Wei-yi,3,0.007,0.0,19.4,0.0004,0.0,2004-11-17
Ghana,Isaac Boakye,5,0.007,0.0,41.0,0.0002,0.0,2003-11-16
Australia,Ahmad Elrich,3,0.007,0.0,41.1,0.0002,0.0,2004-10-12
Libya,Nader Kara,3,0.007,0.0,28.9,0.0002,0.0,2004-10-08
Iceland,Gunnar Heiðar Þorvaldsson,2,0.007,0.0,42.1,0.0002,0.0,2006-09-02
Mali,Dramane Coulibaly,3,0.004,0.003,36.8,0.0001,0.0001,2005-06-05
Grenada,Patrick Modeste,2,0.007,0.0,26.4,0.0003,0.0,2008-06-14
Mali,Mahamadou Diarra,3,0.007,0.0,36.8,0.0002,0.0,2005-06-05
Belgium,Bart Goor,6,0.007,0.0,44.8,0.0002,0.0,2003-06-11
Syria,Bashar Srour,8,0.006,0.001,38.4,0.0002,0.0,2001-05-18
Argentina,Roberto Ayala,3,0.007,0.0,46.5,0.0001,0.0,2006-06-30
Rwanda,Abedi Saïd,3,0.007,0.0,26.2,0.0003,0.0,2004-10-09
Wales,Gary Speed,7,0.007,0.0,37.5,0.0002,0.0,2004-09-04
Algeria,Nassim Akrour,4,0.007,0.0,53.4,0.0001,0.0,2003-11-14
United Arab Emirates,Mohamed Omer,3,0.007,0.0,43.9,0.0002,0.0,2004-09-08
Turkey,Uğur Boral,1,0.007,0.0,43.9,0.0002,0.0,2008-06-25
Estonia,Kristen Viikmäe,4,0.007,0.0,39.9,0.0002,0.0,2004-09-04
Greece,Zisis Vryzas,3,0.007,0.0,36.4,0.0002,0.0,2005-03-26
Ivory Coast,Didier Zokora,1,0.007,0.0,46.1,0.0001,0.0,2008-06-22
Guyana,Nigel Codrington,1,0.007,0.0,25.1,0.0003,0.0,2008-06-22
Japan,Atsuto Uchida,1,0.007,0.0,46.4,0.0001,0.0,2008-06-22
China,Sun Xiang,1,0.007,0.0,32.8,0.0002,0.0,2008-06-22
DR Congo,Tsholola Tshinyama,1,0.007,0.0,44.0,0.0002,0.0,2008-06-22
Congo,Franchel Ibara,1,0.007,0.0,18.2,0.0004,0.0,2008-06-22
Mozambique,Elias Pelembe,1,0.007,0.0,37.2,0.0002,0.0,2008-06-22
Djibouti,Moussa Hirir,1,0.007,0.0,14.6,0.0005,0.0,2008-06-22
Suriname,Germaine van Dijk,1,0.007,0.0,26.1,0.0003,0.0,2008-06-22
Mozambique,Carlos Chimomole,1,0.007,0.0,37.2,0.0002,0.0,2008-06-22
Seychelles,Bertrand St. Ange,1,0.007,0.0,18.2,0.0004,0.0,2008-06-21
Russia,Dmitri Torbinski,1,0.007,0.0,31.3,0.0002,0.0,2008-06-21
Liberia,Zah Rahan Krangar,1,0.007,0.0,26.5,0.0003,0.0,2008-06-21
Morocco,Nabil El Zhar,1,0.007,0.0,57.3,0.0001,0.0,2008-06-21
New Caledonia,Patrick Diaike,1,0.007,0.0,14.3,0.0005,0.0,2008-06-21
Senegal,Ibrahima Sonko,1,0.007,0.0,51.4,0.0001,0.0,2008-06-21
Mexico,Jesús Arellano,4,0.007,0.0,63.7,0.0001,0.0,2004-09-08
Libya,Omar Daoud,1,0.007,0.0,28.9,0.0002,0.0,2008-06-20
Libya,Osama Al Fazzani,1,0.007,0.0,28.9,0.0002,0.0,2008-06-20
Libya,Hesham Shaban,1,0.007,0.0,28.9,0.0002,0.0,2008-06-20
Spain,Rubén de la Red,1,0.007,0.0,47.3,0.0001,0.0,2008-06-18
Germany,Oliver Neuville,4,0.007,0.0,46.1,0.0001,0.0,2006-06-14
Antigua and Barbuda,Tyio Simon,1,0.007,0.0,18.0,0.0004,0.0,2008-06-17
Cuba,Leonel Duarte,1,0.007,0.0,29.0,0.0002,0.0,2008-06-17
Canada,Issey Nakajima-Farran,1,0.007,0.0,46.0,0.0001,0.0,2008-06-15
Ecuador,Patricio Urrutia,1,0.007,0.0,44.1,0.0002,0.0,2008-06-15
Madagascar,Guy Mamihasindrahona,1,0.007,0.0,29.7,0.0002,0.0,2008-06-15
Liberia,Dioh Williams,1,0.007,0.0,26.5,0.0003,0.0,2008-06-15
Portugal,Sérgio Conceição,9,0.007,0.0,47.0,0.0001,0.0,2001-09-05
Kenya,John Baraza,3,0.007,0.0,30.5,0.0002,0.0,2004-09-04
China,Zhou Haibin,1,0.007,0.0,32.8,0.0002,0.0,2008-06-14
Sudan,Ala'a Eldin Yousif,1,0.007,0.0,35.2,0.0002,0.0,2008-06-14
United Arab Emirates,Saif Mohammed Al Bishr,1,0.007,0.0,43.9,0.0002,0.0,2008-06-14
Chad,Armand Djerabe,1,0.007,0.0,18.6,0.0004,0.0,2008-06-14
Uganda,Dan Wagalauka,1,0.007,0.0,34.8,0.0002,0.0,2008-06-14
Turkmenistan,Guvanch Ovekov,1,0.0,0.007,16.1,0.0,0.0004,2008-06-14
Puerto Rico,Chris Megaloudis,1,0.007,0.0,22.2,0.0003,0.0,2008-06-14
Iran,Mohsen Khalili,1,0.007,0.0,42.0,0.0002,0.0,2008-06-14
Uganda,Timothy Batabaire,1,0.007,0.0,34.8,0.0002,0.0,2008-06-14
Seychelles,Don Annacoura,1,0.007,0.0,18.2,0.0004,0.0,2008-06-14
Ecuador,Ulises de la Cruz,4,0.007,0.0,44.1,0.0002,0.0,2005-03-30
Jamaica,Onandi Lowe,7,0.007,0.0,50.0,0.0001,0.0,2003-07-15
Poland,Roger Guerreiro,1,0.007,0.0,40.6,0.0002,0.0,2008-06-12
Sweden,Petter Hansson,1,0.007,0.0,43.6,0.0002,0.0,2008-06-10
Republic of Ireland,Andy Reid,2,0.007,0.0,37.6,0.0002,0.0,2006-11-15
Botswana,Boitumelo Mafoko,1,0.007,0.0,30.7,0.0002,0.0,2008-06-08
Eswatini,Collen Salelwako,1,0.007,0.0,25.8,0.0003,0.0,2008-06-08
Cameroon,Gustave Bebbe,1,0.007,0.0,40.1,0.0002,0.0,2008-06-08
Lesotho,Lehlohonolo Seema,1,0.007,0.0,30.0,0.0002,0.0,2008-06-08
Cameroon,André Bikey,1,0.007,0.0,40.1,0.0002,0.0,2008-06-08
Niger,Ismael Alassane,1,0.007,0.0,30.9,0.0002,0.0,2008-06-08
Lesotho,Sello Muso,1,0.007,0.0,30.0,0.0002,0.0,2008-06-08
Angola,Yamba Asha,1,0.007,0.0,37.0,0.0002,0.0,2008-06-08
Slovenia,Sebastjan Cimirotič,4,0.007,0.0,38.4,0.0002,0.0,2005-09-03
South Africa,Thembinkosi Fanteni,1,0.007,0.0,49.4,0.0001,0.0,2008-06-07
Cape Verde,Elvis Macedo Babanco,1,0.007,0.0,38.7,0.0002,0.0,2008-06-07
Mauritania,Dominique da Silva,1,0.0,0.007,35.9,0.0,0.0002,2008-06-07
Morocco,Abdessalam Benjelloun,1,0.007,0.0,57.3,0.0001,0.0,2008-06-07
South Africa,Surprise Moriri,1,0.007,0.0,49.4,0.0001,0.0,2008-06-07
Spain,Juan Carlos Valerón,4,0.007,0.0,47.3,0.0001,0.0,2004-06-12
Croatia,Milan Rapaić,4,0.003,0.004,45.5,0.0001,0.0001,2004-06-17
Albania,Alban Bushi,6,0.007,0.0,37.6,0.0002,0.0,2004-10-13
Uzbekistan,Vitaliy Denisov,1,0.007,0.0,42.5,0.0002,0.0,2008-06-02
Nigeria,Obinna Nwaneri,1,0.007,0.0,48.4,0.0001,0.0,2008-06-01
Equatorial Guinea,Ronan Carolino Falcão,1,0.007,0.0,33.7,0.0002,0.0,2008-06-01
Equatorial Guinea,Juan Ramón Epitié,1,0.007,0.0,33.7,0.0002,0.0,2008-06-01
Lithuania,Ričardas Beniušis,1,0.007,0.0,36.3,0.0002,0.0,2008-06-01
Tunisia,Tijani Belaid,1,0.007,0.0,52.8,0.0001,0.0,2008-06-01
Mali,Adama Coulibaly,1,0.007,0.0,36.8,0.0002,0.0,2008-06-01
Angola,António Mendonça,1,0.007,0.0,37.0,0.0002,0.0,2008-06-01
DR Congo,Hérita Ilunga,1,0.007,0.0,44.0,0.0002,0.0,2008-06-01
Djibouti,Ahmed Daher,1,0.007,0.0,14.6,0.0005,0.0,2008-05-31
Namibia,Costa Khaiseb,1,0.007,0.0,30.0,0.0002,0.0,2008-05-31
Malawi,Joseph Kamwendo,1,0.007,0.0,33.7,0.0002,0.0,2008-05-31
Kenya,Austin Makacha,1,0.007,0.0,30.5,0.0002,0.0,2008-05-31
Lithuania,Valerijus Mižigurskis,1,0.007,0.0,36.3,0.0002,0.0,2008-05-31
Latvia,Mihails Zemļinskis,7,0.003,0.003,34.6,0.0001,0.0001,2004-11-17
Japan,Atsushi Yanagisawa,3,0.007,0.0,46.4,0.0001,0.0,2005-06-16
Senegal,Moussa N'Diaye,4,0.007,0.0,51.4,0.0001,0.0,2005-03-26
New Zealand,Mark Burton,6,0.007,0.0,32.7,0.0002,0.0,2002-07-12
Turkmenistan,Rejepmyrat Agabaýew,4,0.007,0.0,16.1,0.0004,0.0,2003-11-19
Iraq,Abdul-Wahab Abu Al-Hail,7,0.004,0.003,51.5,0.0001,0.0001,2001-10-05
Colombia,Freddy Grisales,4,0.007,0.0,45.0,0.0001,0.0,2004-10-09
Poland,Radosław Kałużny,6,0.007,0.0,40.6,0.0002,0.0,2004-10-09
China,Xie Hui,7,0.007,0.0,32.8,0.0002,0.0,2001-05-27
China,Li Ming,5,0.007,0.0,32.8,0.0002,0.0,2004-08-07
Tahiti,Axel Temataua,3,0.007,0.0,12.1,0.0005,0.0,2004-06-06
Liberia,Isaac Tondo,3,0.007,0.0,26.5,0.0002,0.0,2005-03-26
Vanuatu,Seimata Chilia,3,0.007,0.0,18.1,0.0004,0.0,2004-06-02
Uruguay,Álvaro Recoba,6,0.005,0.001,43.2,0.0001,0.0,2005-10-12
Vanuatu,Alphose Qorig,3,0.004,0.002,18.1,0.0002,0.0001,2004-06-02
New Caledonia,Paul Poatinda,3,0.007,0.0,14.3,0.0005,0.0,2004-05-19
Fiji,Waisake Sabutu,3,0.007,0.0,23.2,0.0003,0.0,2004-05-17
Russia,Yegor Titov,6,0.007,0.0,31.3,0.0002,0.0,2003-10-11
Syria,Maher Al Sayed,2,0.001,0.006,38.4,0.0,0.0001,2007-10-08
Qatar,Waleed Hamzah,4,0.007,0.0,54.5,0.0001,0.0,2004-09-08
Latvia,Andrejs Prohorenkovs,3,0.007,0.0,34.6,0.0002,0.0,2004-11-17
Nepal,Nirajan Rayamajhi,7,0.006,0.0,27.2,0.0002,0.0,2001-04-25
Solomon Islands,Alick Maemae,3,0.006,0.0,21.6,0.0003,0.0,2004-05-12
Australia,Bobby Despotovski,5,0.005,0.001,41.1,0.0001,0.0,2002-07-08
New Zealand,Jeff Campbell,5,0.006,0.0,32.7,0.0002,0.0,2002-07-09
Iran,Reza Enayati,3,0.006,0.0,42.0,0.0002,0.0,2004-07-20
Italy,Simone Perrotta,2,0.006,0.0,41.7,0.0002,0.0,2006-10-11
China,Qi Hong,7,0.006,0.0,32.8,0.0002,0.0,2001-09-27
Northern Ireland,Stuart Elliott,3,0.006,0.0,35.2,0.0002,0.0,2005-09-03
Vietnam,Phan Văn Tài Em,3,0.006,0.0,36.3,0.0002,0.0,2004-09-08
Paraguay,Nelson Cuevas,3,0.006,0.0,39.1,0.0002,0.0,2006-06-20
Japan,Kazuyoshi Miura,30,0.006,0.0,46.4,0.0001,0.0,1997-09-07
Bosnia and Herzegovina,Hasan Salihamidžić,4,0.006,0.0,38.1,0.0002,0.0,2005-06-04
Romania,Marius Niculae,5,0.006,0.0,38.6,0.0002,0.0,2004-09-08
North Macedonia,Gjorgji Hristov,9,0.006,0.0,36.8,0.0002,0.0,2003-09-06
Zambia,Ignatius Lwipa,2,0.006,0.0,37.2,0.0002,0.0,2005-10-01
Zambia,Nchimunya Mweetwa,2,0.006,0.0,37.2,0.0002,0.0,2005-10-01
Bahamas,Demont Mitchell,1,0.006,0.0,16.4,0.0004,0.0,2008-03-30
Cayman Islands,Marshall Forbes,1,0.0,0.006,17.9,0.0,0.0004,2008-03-30
Bahamas,Michael Bethel,1,0.006,0.0,16.4,0.0004,0.0,2008-03-30
El Salvador,Carlos Monteagudo,1,0.006,0.0,44.1,0.0001,0.0,2008-03-26
Antigua and Barbuda,Okeem Challenger,1,0.006,0.0,18.0,0.0004,0.0,2008-03-26
Belize,Elroy Smith,1,0.006,0.0,22.2,0.0003,0.0,2008-03-26
Suriname,Cleon Wondel,1,0.006,0.0,26.1,0.0002,0.0,2008-03-26
Jordan,Waseem Al-Bzour,1,0.006,0.0,54.5,0.0001,0.0,2008-03-26
Kuwait,Fahad Al-Rashidi,1,0.006,0.0,39.8,0.0002,0.0,2008-03-26
El Salvador,William Antonio Torres,1,0.006,0.0,44.1,0.0001,0.0,2008-03-26
Suriname,Raydell Schuurman,1,0.006,0.0,26.1,0.0002,0.0,2008-03-26
British Virgin Islands,Rohan Lennon,1,0.006,0.0,19.4,0.0003,0.0,2008-03-26
Grenada,Dorset Langiagne,1,0.006,0.0,26.4,0.0002,0.0,2008-03-26
Montserrat,Vladimir Farrell,1,0.006,0.0,13.9,0.0005,0.0,2008-03-26
Suriname,Melvin Valies,1,0.006,0.0,26.1,0.0002,0.0,2008-03-26
Curaçao,Tyrone Loran,1,0.006,0.0,33.6,0.0002,0.0,2008-03-26
Barbados,Dwayne Stanford,1,0.006,0.0,23.6,0.0003,0.0,2008-03-26
Iceland,Brynjar Gunnarsson,4,0.006,0.0,42.1,0.0002,0.0,2007-06-02
Liechtenstein,Benjamin Fischer,2,0.006,0.0,34.6,0.0002,0.0,2005-10-08
Burkina Faso,Yahia Kébé,2,0.006,0.0,44.7,0.0001,0.0,2005-10-08
Dominica,Vincent Casimir,3,0.006,0.0,19.0,0.0003,0.0,2004-03-28
Maldives,Ahmed Thoriq,3,0.006,0.0,23.1,0.0003,0.0,2004-10-13
Trinidad and Tobago,Chris Birchall,2,0.006,0.0,43.4,0.0001,0.0,2005-11-12
Kyrgyzstan,Sergey Chikishev,3,0.006,0.0,28.1,0.0002,0.0,2004-10-13
Belgium,Mbo Mpenza,2,0.006,0.0,44.8,0.0001,0.0,2005-09-07
Bolivia,Gonzalo Galindo,3,0.006,0.0,40.6,0.0002,0.0,2005-06-08
South Korea,Lee Young-pyo,3,0.006,0.0,47.9,0.0001,0.0,2005-03-30
South Korea,Lee Chun-soo,2,0.006,0.0,47.9,0.0001,0.0,2006-06-13
Venezuela,José Torrealba,2,0.006,0.0,37.3,0.0002,0.0,2005-09-03
Burkina Faso,Abdoulaye Cissé,2,0.006,0.0,44.7,0.0001,0.0,2005-09-03
Turkmenistan,Nazar Baýramow,3,0.006,0.0,16.1,0.0004,0.0,2004-07-18
Netherlands,Marc Overmars,11,0.006,0.0,45.5,0.0001,0.0,2003-06-07
Latvia,Marians Pahars,9,0.006,0.0,34.6,0.0002,0.0,2001-07-05
Maldives,Ibrahim Fazeel,3,0.006,0.0,23.1,0.0003,0.0,2004-09-08
Trinidad and Tobago,Dennis Lawrence,2,0.006,0.0,43.4,0.0001,0.0,2005-11-16
Switzerland,Stéphane Chapuisat,17,0.006,0.0,45.1,0.0001,0.0,2002-09-08
Peru,Jorge Soto,7,0.006,0.001,40.0,0.0001,0.0,2004-09-04
Bermuda,Ralph Bean,3,0.006,0.0,25.1,0.0002,0.0,2004-03-21
Venezuela,Ricardo Páez,2,0.006,0.0,37.3,0.0002,0.0,2007-06-26
Saint Vincent and the Grenadines,Rodney Jack,10,0.006,0.0,27.3,0.0002,0.0,2004-09-10
Saudi Arabia,Ibrahim Sowed,3,0.006,0.0,59.9,0.0001,0.0,2004-03-31
Palestine,Roberto Kettlun,3,0.006,0.0,32.9,0.0002,0.0,2004-03-31
Australia,Ante Milicic,3,0.006,0.0,41.1,0.0001,0.0,2004-10-12
Spain,Gaizka Mendieta,7,0.005,0.001,47.3,0.0001,0.0,2002-06-12
Uganda,Geoffrey Sserunkuma,2,0.006,0.0,34.8,0.0002,0.0,2005-10-08
Finland,Mika Nurmela,2,0.006,0.0,38.2,0.0002,0.0,2006-11-15
Tunisia,Kaies Ghodhbane,4,0.006,0.0,52.8,0.0001,0.0,2005-03-26
Tunisia,Adel Chedli,2,0.006,0.0,52.8,0.0001,0.0,2005-10-08
Ghana,Quincy Owusu-Abeyie,1,0.006,0.0,41.0,0.0001,0.0,2008-02-09
Egypt,Ahmed Fathy,1,0.006,0.0,51.2,0.0001,0.0,2008-02-07
Cameroon,Alain N'Kong,1,0.006,0.0,40.1,0.0002,0.0,2008-02-07
Turks and Caicos Islands,David Lowery,1,0.006,0.0,12.1,0.0005,0.0,2008-02-06
Turks and Caicos Islands,Gavin Glinton,1,0.006,0.0,12.1,0.0005,0.0,2008-02-06
Curaçao,Anton Jongsma,1,0.006,0.0,33.6,0.0002,0.0,2008-02-06
El Salvador,Emerson Umaña,1,0.006,0.0,44.1,0.0001,0.0,2008-02-06
Saint Lucia,Gilbert Nyhime,1,0.006,0.0,18.3,0.0003,0.0,2008-02-06
Barbados,Rashida Williams,1,0.006,0.0,23.6,0.0003,0.0,2008-02-06
Saint Kitts and Nevis,Gerard Williams,1,0.006,0.0,26.8,0.0002,0.0,2008-02-06
Dominica,Richard Pacquette,1,0.006,0.0,19.0,0.0003,0.0,2008-02-06
Haiti,Johnny Descouines,3,0.006,0.0,35.3,0.0002,0.0,2004-02-18
Cayman Islands,Allean Richard Grant Velasquez,1,0.006,0.0,17.9,0.0003,0.0,2008-02-03
Saint Vincent and the Grenadines,Kendall Velox,5,0.006,0.0,27.3,0.0002,0.0,2004-10-13
Colombia,Giovanni Hernández,4,0.006,0.0,45.0,0.0001,0.0,2003-06-28
Turkmenistan,Wladimir Baýramow,4,0.006,0.0,16.1,0.0004,0.0,2004-03-31
Ivory Coast,Marc Zoro,1,0.006,0.0,46.1,0.0001,0.0,2008-01-29
Uruguay,Paolo Montero,5,0.006,0.0,43.2,0.0001,0.0,2004-11-17
China,Fan Zhiyi,9,0.003,0.003,32.8,0.0001,0.0001,2001-09-15
