team,scorer,goals_total,op_goals_w,pen_goals_w,matches_w,op_rate,pen_rate,last_date
Iran,Karim Ansarifard,15,1.769,0.356,42.0,0.0422,0.0085,2024-01-14
Angola,Mabululu,5,1.617,0.507,37.0,0.0437,0.0137,2024-06-07
Canada,Junior Hoilett,9,1.18,0.937,46.0,0.0256,0.0204,2023-07-04
Ethiopia,Bereket Desta,3,1.411,0.705,27.0,0.0523,0.0262,2025-03-24
Guinea-Bissau,Mama Baldé,4,2.115,0.0,26.7,0.0791,0.0,2025-09-04
Morocco,Hakim Ziyech,6,1.456,0.653,57.3,0.0254,0.0114,2024-06-07
Ukraine,Oleksandr Zinchenko,7,2.097,0.0,39.0,0.0538,0.0,2024-11-19
Romania,Florin Tănase,4,2.08,0.0,38.6,0.0539,0.0,2025-06-10
Argentina,Thiago Almada,3,2.077,0.0,46.5,0.0447,0.0,2025-06-10
Panama,Eduardo Guerrero,3,1.323,0.752,56.7,0.0233,0.0133,2025-06-16
Guinea,Mohamed Bayo,5,1.56,0.514,34.4,0.0453,0.0149,2024-02-02
Wales,Nathan Broadhead,3,2.074,0.0,37.5,0.0553,0.0,2025-11-18
Turkey,Cengiz Ünder,8,1.717,0.352,43.9,0.0391,0.008,2023-06-16
Saint Lucia,Caniggia Elva,3,0.565,1.497,18.3,0.0309,0.0818,2025-06-10
Faroe Islands,Viljormur Davidsen,5,0.353,1.706,33.9,0.0104,0.0504,2024-11-14
DR Congo,Théo Bongonda,3,2.056,0.0,44.0,0.0467,0.0,2025-12-23
Italy,Nicolò Barella,8,2.051,0.0,41.7,0.0492,0.0,2024-06-15
Latvia,Roberts Uldriķis,6,2.046,0.0,34.6,0.0591,0.0,2024-11-17
Ivory Coast,Seko Fofana,4,2.044,0.0,46.1,0.0443,0.0,2024-06-07
Panama,Gabriel Torres,18,1.466,0.574,56.7,0.0259,0.0101,2022-03-30
South Korea,Cho Gue-sung,5,2.034,0.0,47.9,0.0424,0.0,2024-01-30
Australia,Nishan Velupillay,3,2.031,0.0,41.1,0.0494,0.0,2025-03-25
Peru,Edison Flores,11,2.029,0.0,40.0,0.0507,0.0,2025-03-20
DR Congo,Gaël Kakuta,3,1.15,0.873,44.0,0.0261,0.0198,2025-12-30
Ghana,André Ayew,16,1.556,0.467,41.0,0.0379,0.0114,2022-11-24
Oman,Abdullah Fawaz,6,1.72,0.295,47.1,0.0365,0.0063,2024-10-10
Comoros,Rafiki Saïd,3,2.011,0.0,38.9,0.0517,0.0,2025-10-08
Italy,Andrea Cambiaso,3,2.01,0.0,41.7,0.0482,0.0,2025-06-09
Haiti,Danley Jean Jacques,3,2.003,0.0,35.3,0.0567,0.0,2025-10-09
Switzerland,Manuel Akanji,4,1.998,0.0,45.1,0.0443,0.0,2025-09-05
Serbia,Luka Jović,7,1.996,0.0,39.4,0.0507,0.0,2024-06-20
Trinidad and Tobago,Kevin Molino,8,1.247,0.746,43.4,0.0288,0.0172,2025-11-13
Oman,Issam Al-Sabhi,3,1.239,0.748,47.1,0.0263,0.0159,2025-06-10
Mexico,Orbelín Pineda,7,1.026,0.959,63.7,0.0161,0.0151,2023-07-08
Netherlands,Crysencio Summerville,2,1.985,0.0,45.5,0.0436,0.0,2026-06-20
Nicaragua,Bancy Hernández,3,1.975,0.0,32.7,0.0604,0.0,2025-11-13
Albania,Jasir Asani,4,1.971,0.0,37.6,0.0525,0.0,2024-09-07
Peru,Paolo Guerrero,26,1.824,0.145,40.0,0.0456,0.0036,2025-03-20
Poland,Jakub Kamiński,3,1.967,0.0,40.6,0.0484,0.0,2025-11-14
Slovenia,Sandi Lovrić,5,1.699,0.263,38.4,0.0442,0.0069,2025-09-05
Denmark,Andreas Skov Olsen,7,1.96,0.0,41.0,0.0478,0.0,2022-09-25
Tunisia,Youssef Msakni,12,1.325,0.63,52.8,0.0251,0.0119,2023-11-21
