fighter,division,elo,rank_elo,overall_rating,style,grappler_index,striker_index,SLpM,str_def,td_per15,td_def,ctrl_sec_per_round,sub_att_per15,finish_rate,gets_finished_rate,head_share,ground_strike_per15,ground_ctrl_share,distance_strike_diff15,finish_threat15,head_absorbed_per15,kd_absorbed_per15,age,stance,n_fights
Martin Day,Featherweight,1391.2,1391.2,27.5,balanced,0.521,0.645,3.79,0.52,1.08,0.65,37.8,0.63,0.0,0.5,0.616,5.43,0.126,1.51,1.01,35.96,0.484,37.6,Orthodox,4
Connor Matthews,Featherweight,1383.2,1383.2,25.5,wrestler,0.676,0.536,3.98,0.553,2.06,0.0,36.4,0.36,0.0,1.0,0.623,3.64,0.121,-8.48,0.47,34.75,0.725,34.1,Switch,3
Sean Soriano,Featherweight,1382.7,1382.7,25.3,striker,0.475,0.733,3.45,0.563,1.41,0.525,43.0,0.28,0.0,0.6,0.604,5.38,0.143,6.4,0.36,26.55,0.164,36.7,Orthodox,5
Mohammad Yahya,Featherweight,1364.7,1364.7,21.0,striker,0.312,0.687,3.66,0.431,1.08,0.429,31.0,0.57,0.0,0.667,0.649,3.12,0.103,-6.29,0.68,46.45,1.496,32.1,Switch,3
Joshua Van,Flyweight,1782.1,1782.1,88.2,striker,0.406,1.0,7.06,0.583,1.05,0.757,28.9,0.34,0.364,0.091,0.698,5.98,0.097,17.56,0.86,47.27,0.14,24.7,Orthodox,11
Manel Kape,Flyweight,1763.2,1763.2,83.7,striker,0.266,0.973,4.19,0.574,0.71,0.811,20.6,0.36,0.545,0.0,0.657,4.76,0.072,5.97,1.06,27.69,0.077,32.6,Southpaw,11
Demetrious Johnson,Flyweight,1757.9,1757.9,84.9,balanced,0.799,0.64,3.47,0.672,3.02,0.712,82.5,0.57,0.389,0.0,0.485,6.29,0.275,11.08,0.7,14.32,0.084,39.9,Orthodox,18
Tatsuro Taira,Flyweight,1756.3,1756.3,84.2,grappler,1.0,0.593,2.98,0.44,3.03,0.462,115.8,1.11,0.6,0.1,0.736,12.66,0.386,-8.76,1.29,32.32,0.315,26.4,Orthodox,10
Muhammad Mokaev,Flyweight,1738.4,1738.4,81.5,grappler,1.0,0.42,2.22,0.575,3.97,0.25,110.9,0.8,0.571,0.0,0.567,5.39,0.37,2.37,0.93,18.56,0.097,25.9,Orthodox,7
Alexandre Pantoja,Flyweight,1716.9,1716.9,80.1,grappler,0.947,0.646,4.18,0.498,2.59,0.692,80.6,0.93,0.444,0.056,0.633,5.23,0.269,2.18,1.08,40.08,0.1,36.2,Orthodox,18
Allan Nascimento,Flyweight,1684.2,1684.2,71.8,grappler,0.809,0.421,2.27,0.573,1.29,0.4,79.9,0.91,0.333,0.0,0.492,5.19,0.26,1.51,1.09,24.05,0.119,34.8,Orthodox,6
Kyoji Horiguchi,Flyweight,1680.1,1680.1,70.8,balanced,0.538,0.664,3.41,0.639,1.52,0.612,58.5,0.26,0.273,0.182,0.714,7.98,0.195,10.52,0.77,20.78,0.077,35.7,Orthodox,11
Asu Almabayev,Flyweight,1672.8,1672.8,70.9,grappler,1.0,0.481,2.66,0.538,3.44,0.444,100.1,1.2,0.286,0.143,0.569,6.84,0.334,-0.24,1.28,20.19,0.097,32.4,Orthodox,7
Kai Kara-France,Flyweight,1654.7,1654.7,66.6,striker,0.294,0.855,4.18,0.643,0.82,0.839,31.2,0.16,0.231,0.231,0.635,6.94,0.104,8.75,0.75,32.91,0.333,33.2,Orthodox,13
Joseph Benavidez,Flyweight,1648.0,1648.0,66.0,striker,0.422,0.798,3.81,0.571,1.52,0.679,49.0,0.32,0.286,0.143,0.552,3.98,0.163,11.16,0.64,26.5,0.29,41.9,Southpaw,21
Steve Erceg,Flyweight,1641.1,1641.1,64.7,striker,0.381,0.782,4.18,0.555,1.31,0.674,40.0,0.48,0.125,0.125,0.701,2.53,0.134,5.78,0.62,32.74,0.249,30.9,Orthodox,8
Alex Perez,Flyweight,1636.8,1636.8,65.9,balanced,0.65,0.752,3.95,0.596,2.03,0.743,64.0,0.59,0.4,0.333,0.597,6.99,0.213,6.11,1.13,27.68,0.06,34.2,Orthodox,15
Ramazan Temirov,Flyweight,1636.2,1636.2,66.1,striker,0.455,0.778,3.65,0.593,1.39,1.0,38.0,0.46,0.5,0.0,0.672,4.36,0.127,3.56,1.35,27.28,0.179,29.4,Orthodox,2
Tagir Ulanbekov,Flyweight,1632.3,1632.3,65.5,grappler,0.972,0.502,3.1,0.506,2.37,0.633,94.6,1.24,0.25,0.125,0.747,4.76,0.316,-1.65,1.35,27.45,0.375,34.9,Southpaw,8
Brandon Moreno,Flyweight,1628.5,1628.5,64.2,striker,0.476,0.769,3.74,0.599,1.41,0.653,53.0,0.45,0.3,0.05,0.721,4.08,0.177,1.67,0.61,35.01,0.223,32.5,Orthodox,20
Edgar Chairez,Flyweight,1627.6,1627.6,63.4,grappler,0.472,0.531,3.38,0.456,0.6,0.333,23.8,1.24,0.429,0.0,0.59,2.62,0.085,-1.17,1.41,37.07,0.107,30.4,Orthodox,7
Amir Albazi,Flyweight,1624.4,1624.4,63.1,balanced,0.522,0.492,2.77,0.594,1.36,0.625,64.3,0.54,0.429,0.0,0.668,4.7,0.214,-15.06,0.78,35.11,0.097,32.6,Orthodox,7
Joseph Morales,Flyweight,1623.3,1623.3,64.0,grappler,0.759,0.452,2.71,0.578,1.15,0.267,43.0,1.9,0.6,0.2,0.621,6.5,0.143,-2.73,1.95,23.28,0.391,31.8,Switch,5
Brandon Royval,Flyweight,1615.5,1615.5,63.8,grappler,0.676,0.659,4.98,0.43,0.9,0.452,27.2,0.99,0.333,0.25,0.737,5.56,0.091,11.37,1.17,32.77,0.357,33.8,Southpaw,12
John Dodson,Flyweight,1614.0,1614.0,60.8,balanced,0.303,0.697,3.22,0.616,0.89,0.822,21.6,0.13,0.353,0.0,0.571,2.37,0.072,-0.57,0.72,29.07,0.051,41.7,Orthodox,17
Dustin Ortiz,Flyweight,1613.0,1613.0,62.7,wrestler,0.854,0.546,3.02,0.564,2.71,0.526,89.0,0.22,0.286,0.071,0.593,12.3,0.297,-3.24,0.39,19.92,0.186,37.5,Orthodox,14
Askar Askarov,Flyweight,1612.0,1612.0,61.4,wrestler,0.762,0.522,3.15,0.579,2.18,0.667,76.0,0.53,0.0,0.0,0.704,5.85,0.254,0.15,0.62,24.36,0.23,33.7,Orthodox,5
Charles Johnson,Flyweight,1608.0,1608.0,60.4,striker,0.25,0.871,4.44,0.557,0.76,0.692,26.7,0.42,0.214,0.071,0.531,3.66,0.089,2.63,0.7,31.15,0.249,35.4,Switch,14
Lone’er Kavanagh,Flyweight,1603.6,1603.6,58.1,striker,0.464,0.747,3.69,0.562,1.41,0.941,44.1,0.46,0.0,0.25,0.63,6.1,0.18,0.0,0.75,29.7,0.27,27.0,Orthodox,4
Jussier Formiga,Flyweight,1601.6,1601.6,57.1,balanced,0.642,0.406,1.79,0.641,1.79,0.871,77.2,0.6,0.188,0.25,0.713,3.8,0.258,-4.49,0.75,21.1,0.433,41.2,Orthodox,16
Rei Tsuruya,Flyweight,1591.8,1591.8,57.9,wrestler,0.747,0.424,2.51,0.419,2.3,0.5,74.0,0.4,0.333,0.0,0.708,5.78,0.232,-4.94,0.6,27.7,0.179,24.0,Orthodox,3
Nate Maness,Flyweight,1586.1,1586.1,56.8,balanced,0.534,0.63,3.19,0.425,1.03,0.8,40.2,0.68,0.429,0.143,0.696,7.44,0.134,-1.52,0.96,29.76,0.225,35.0,Orthodox,7
Rafael Estevam,Flyweight,1577.2,1577.2,54.5,wrestler,0.908,0.378,2.57,0.45,3.34,0.667,100.4,0.48,0.0,0.25,0.656,4.21,0.335,-16.21,0.57,35.9,0.259,29.9,Orthodox,4
Tim Elliott,Flyweight,1575.4,1575.4,57.6,grappler,0.987,0.503,3.48,0.564,3.31,0.594,80.2,1.0,0.136,0.227,0.585,8.23,0.267,-2.15,1.07,30.5,0.041,39.5,Southpaw,22
Sergio Pettis,Flyweight,1571.7,1571.7,54.2,striker,0.371,0.675,3.75,0.654,1.03,0.676,31.6,0.43,0.0,0.143,0.751,3.75,0.106,11.41,0.52,27.46,0.222,32.8,Orthodox,14
Ali Bagautinov,Flyweight,1566.2,1566.2,55.2,wrestler,0.782,0.498,3.0,0.524,2.2,0.65,72.3,0.42,0.143,0.0,0.585,9.69,0.241,-2.48,0.66,26.53,0.097,41.0,Orthodox,7
Alessandro Costa,Flyweight,1564.9,1564.9,54.0,striker,0.352,0.836,3.59,0.529,1.21,0.84,33.4,0.56,0.571,0.286,0.601,6.01,0.116,0.81,0.96,29.06,0.347,30.4,Orthodox,7
Kai Asakura,Flyweight,1562.8,1562.8,49.1,balanced,0.273,0.468,2.75,0.52,0.95,0.5,33.3,0.4,0.333,0.667,0.653,3.61,0.126,-4.94,0.6,28.28,0.179,32.6,Orthodox,3
Tyson Nam,Flyweight,1562.0,1562.0,53.1,striker,0.113,0.759,3.78,0.654,0.39,0.875,19.3,0.16,0.375,0.125,0.584,3.43,0.064,-11.3,0.55,40.24,0.266,42.7,Orthodox,8
Wilson Reis,Flyweight,1557.3,1557.3,52.9,wrestler,0.969,0.322,2.17,0.559,4.33,0.474,94.2,0.63,0.154,0.231,0.576,5.0,0.314,-8.98,0.64,30.51,0.493,41.5,Southpaw,13
Matheus Nicolau,Flyweight,1556.7,1556.7,53.6,grappler,0.704,0.623,3.3,0.658,1.33,0.905,43.4,0.81,0.182,0.273,0.551,5.52,0.145,2.35,1.46,25.04,0.479,33.5,Orthodox,11
Sumudaerji,Flyweight,1552.8,1552.8,51.4,striker,0.364,0.79,3.94,0.622,0.91,0.72,32.6,0.56,0.091,0.273,0.619,6.37,0.111,20.79,0.79,24.12,0.166,30.4,Southpaw,11
Andre Lima,Flyweight,1551.7,1551.7,54.3,grappler,0.81,0.54,3.34,0.55,1.15,0.708,61.7,0.84,0.2,0.0,0.531,2.58,0.199,5.75,1.01,26.84,0.232,27.4,Orthodox,5
Zach Makovsky,Flyweight,1548.7,1548.7,51.7,wrestler,0.782,0.409,2.43,0.623,2.97,0.565,66.4,0.44,0.0,0.0,0.598,4.97,0.221,0.76,0.51,23.93,0.097,43.2,Southpaw,7
Ben Nguyen,Flyweight,1545.4,1545.4,52.4,grappler,0.617,0.563,3.43,0.594,0.76,0.632,36.9,0.89,0.429,0.286,0.666,4.02,0.123,11.76,1.28,30.97,0.234,37.9,Switch,7
Jose Ochoa,Flyweight,1541.4,1541.4,53.3,grappler,0.581,0.642,4.22,0.586,0.98,0.655,34.7,0.8,0.25,0.0,0.54,3.8,0.116,13.03,1.13,24.02,0.134,25.5,Southpaw,4
HyunSung Park,Flyweight,1538.1,1538.1,51.5,grappler,0.693,0.523,3.22,0.566,1.32,0.438,43.1,1.09,0.6,0.4,0.592,3.77,0.144,-1.66,1.31,24.72,0.574,30.6,Orthodox,5
Felipe Bunes,Flyweight,1537.0,1537.0,49.9,grappler,0.679,0.495,3.23,0.474,1.37,0.4,47.1,1.07,0.25,0.25,0.653,2.71,0.157,-5.0,1.11,36.52,0.301,36.6,Orthodox,4
Cody Durden,Flyweight,1535.1,1535.1,50.6,wrestler,0.995,0.505,3.25,0.508,3.52,0.565,90.5,0.66,0.125,0.375,0.711,4.85,0.302,-5.39,0.7,32.54,0.313,35.2,Southpaw,16
Jesus Aguilar,Flyweight,1515.2,1515.2,47.5,grappler,0.656,0.457,2.87,0.607,1.31,0.462,43.6,0.96,0.286,0.143,0.54,2.61,0.146,2.43,1.09,25.44,0.097,30.3,Orthodox,7
Yuta Sasaki,Flyweight,1514.4,1514.4,46.6,grappler,0.826,0.406,2.5,0.5,2.61,0.412,50.9,1.02,0.444,0.444,0.605,5.69,0.17,0.31,0.92,22.49,0.342,36.7,Southpaw,9
Jose Torres,Flyweight,1501.8,1501.8,44.2,striker,0.412,0.69,3.64,0.502,1.53,0.75,40.3,0.46,0.5,0.5,0.651,5.28,0.135,-14.44,0.6,48.03,0.512,33.9,Orthodox,2
Neil Seery,Flyweight,1501.2,1501.2,45.7,grappler,0.632,0.516,3.46,0.589,1.1,0.538,32.0,1.24,0.143,0.143,0.767,5.98,0.107,0.52,1.47,31.64,0.384,46.8,Orthodox,7
Kevin Borjas,Flyweight,1500.5,1500.5,40.4,balanced,0.241,0.577,3.0,0.487,0.66,0.789,32.1,0.28,0.0,0.333,0.698,2.79,0.113,-18.12,0.78,41.95,0.375,28.5,Orthodox,6
Zhalgas Zhumagulov,Flyweight,1498.7,1498.7,44.9,striker,0.343,0.761,4.53,0.522,1.43,0.75,39.4,0.37,0.143,0.143,0.459,2.19,0.132,-3.72,0.44,42.37,0.322,37.8,Switch,7
David Dvorak,Flyweight,1497.4,1497.4,44.5,balanced,0.407,0.54,3.4,0.597,1.01,0.7,38.8,0.4,0.167,0.0,0.555,3.07,0.13,1.76,0.47,26.42,0.332,34.0,Orthodox,6
Eric Shelton,Flyweight,1497.2,1497.2,45.3,wrestler,0.793,0.443,2.85,0.635,2.36,0.462,59.8,0.38,0.0,0.0,0.725,11.67,0.199,-0.97,0.46,21.42,0.107,35.4,Orthodox,6
Chico Camus,Flyweight,1496.3,1496.3,43.3,balanced,0.568,0.481,2.82,0.646,1.07,0.721,67.5,0.49,0.0,0.125,0.766,6.31,0.225,0.28,0.55,26.68,0.089,41.4,Orthodox,8
Ryan Benoit,Flyweight,1492.5,1492.5,41.8,balanced,0.329,0.595,3.0,0.582,0.71,0.723,27.5,0.51,0.222,0.222,0.719,3.65,0.092,-7.16,1.0,30.74,0.082,36.8,Orthodox,9
Rogerio Bontorin,Flyweight,1491.6,1491.6,44.4,grappler,0.914,0.497,2.75,0.521,2.39,0.481,71.1,0.81,0.167,0.167,0.669,4.22,0.237,-1.55,0.87,28.22,0.236,34.2,Orthodox,6
Francisco Figueiredo,Flyweight,1490.5,1490.5,44.3,wrestler,0.845,0.488,2.66,0.616,2.08,0.762,69.4,0.56,0.25,0.25,0.511,4.77,0.232,0.23,0.63,26.84,0.134,36.7,Southpaw,4
Louis Smolka,Flyweight,1484.5,1484.5,46.2,grappler,0.865,0.673,4.41,0.536,1.68,0.322,69.6,1.58,0.353,0.294,0.657,14.88,0.232,-0.98,1.55,30.47,0.445,34.9,Orthodox,17
Victor Altamirano,Flyweight,1484.2,1484.2,43.8,balanced,0.548,0.652,3.82,0.541,2.27,0.591,54.1,0.28,0.167,0.0,0.529,7.34,0.181,4.12,0.47,31.82,0.332,35.4,Switch,6
Jake Hadley,Flyweight,1483.9,1483.9,44.3,grappler,0.524,0.544,3.65,0.602,0.72,0.579,41.0,0.82,0.286,0.0,0.516,5.36,0.137,-6.29,0.96,29.38,0.203,29.9,Southpaw,7
Carlos Hernandez,Flyweight,1480.2,1480.2,39.0,striker,0.413,0.681,3.46,0.507,1.8,0.64,48.4,0.25,0.0,0.429,0.681,3.64,0.162,0.83,0.33,27.51,0.336,32.7,Orthodox,7
Louis Gaudinot,Flyweight,1475.7,1475.7,40.5,grappler,0.655,0.413,2.76,0.486,1.05,0.312,35.0,0.94,0.2,0.2,0.609,4.07,0.117,-11.41,0.95,44.33,0.258,41.8,Orthodox,5
Jon Delos Reyes,Flyweight,1468.2,1468.2,39.8,grappler,0.958,0.531,3.13,0.517,2.43,0.556,68.9,1.31,0.25,0.75,0.648,6.46,0.23,-6.08,1.7,32.52,0.134,38.8,Orthodox,4
Matt Schnell,Flyweight,1460.5,1460.5,38.8,grappler,0.633,0.52,3.86,0.553,0.79,0.435,24.0,1.09,0.176,0.529,0.702,4.68,0.081,2.03,1.06,35.05,0.534,36.4,Orthodox,17
Azat Maksum,Flyweight,1460.0,1460.0,39.2,wrestler,0.704,0.413,3.02,0.525,2.58,0.857,49.8,0.47,0.0,0.0,0.651,2.83,0.167,-11.33,0.7,31.52,0.134,31.4,Southpaw,4
Jordan Espinosa,Flyweight,1459.4,1459.4,36.9,striker,0.34,0.713,3.59,0.61,1.09,0.583,29.3,0.28,0.0,0.333,0.59,4.87,0.098,5.9,0.36,22.05,0.107,36.6,Orthodox,6
Ode Osbourne,Flyweight,1455.6,1455.6,35.5,balanced,0.343,0.598,2.98,0.493,1.04,0.659,25.9,0.38,0.231,0.385,0.642,4.95,0.086,3.33,0.76,24.78,0.247,34.4,Southpaw,13
Dustin Pague,Flyweight,1454.7,1454.7,36.6,grappler,0.829,0.448,2.3,0.412,1.28,0.556,57.7,1.82,0.167,0.333,0.587,5.63,0.193,-3.45,1.74,28.77,0.384,38.9,Orthodox,6
Felipe dos Santos,Flyweight,1445.4,1445.4,34.5,striker,0.237,0.667,3.52,0.415,0.83,0.2,33.3,0.6,0.0,0.0,0.576,5.33,0.111,2.42,0.7,30.77,0.259,25.8,Orthodox,4
Clayton Carpenter,Flyweight,1445.1,1445.1,38.5,grappler,0.75,0.52,3.35,0.462,1.48,0.5,61.0,1.05,0.4,0.2,0.53,6.74,0.204,-12.63,1.06,34.19,0.286,30.0,Orthodox,5
Jimmy Flick,Flyweight,1440.0,1440.0,35.3,grappler,0.831,0.417,2.26,0.413,2.1,0.0,60.1,1.71,0.333,0.333,0.485,2.47,0.201,-18.42,1.56,42.77,0.257,35.8,Orthodox,6
Jose Johnson,Flyweight,1428.5,1428.5,33.7,grappler,0.763,0.497,2.82,0.518,1.25,0.52,50.0,0.77,0.25,0.5,0.621,8.33,0.167,2.1,0.82,21.59,0.134,31.1,Orthodox,4
Mark De La Rosa,Flyweight,1427.6,1427.6,31.9,balanced,0.345,0.487,3.19,0.489,0.95,0.4,39.8,0.37,0.143,0.286,0.615,3.56,0.133,-8.09,0.43,40.84,0.31,31.8,Orthodox,7
Darrell Montague,Flyweight,1424.5,1424.5,30.2,grappler,0.622,0.362,2.7,0.527,1.26,0.333,35.5,1.02,0.0,0.667,0.603,3.1,0.119,-6.55,1.03,39.29,1.182,38.6,Southpaw,3
CJ Vergara,Flyweight,1422.2,1422.2,32.2,striker,0.229,0.82,4.39,0.534,0.55,0.6,41.7,0.35,0.125,0.375,0.538,11.14,0.139,-5.33,0.41,37.57,0.645,35.0,Orthodox,8
Carls John De Tomas,Flyweight,1419.6,1419.6,29.1,balanced,0.48,0.473,2.77,0.449,1.56,0.667,44.4,0.46,0.0,0.5,0.644,4.01,0.149,-3.64,0.6,32.03,0.179,29.8,Southpaw,2
Malcolm Gordon,Flyweight,1419.1,1419.1,30.5,grappler,0.783,0.466,2.79,0.435,1.7,0.267,63.0,0.91,0.143,0.714,0.781,8.33,0.21,-0.88,0.8,19.52,0.416,36.1,Switch,7
Jared Papazian,Flyweight,1408.1,1408.1,28.3,balanced,0.337,0.523,3.3,0.448,0.95,0.5,49.7,0.4,0.0,0.333,0.654,3.46,0.166,-0.38,0.51,29.11,0.337,38.4,Southpaw,3
Carlos Candelario,Flyweight,1393.9,1393.9,27.1,balanced,0.62,0.545,3.34,0.426,1.77,0.8,56.1,0.69,0.0,0.5,0.574,3.61,0.188,-1.24,0.8,38.03,0.379,35.0,Southpaw,2
Daniel Lacerda,Flyweight,1372.2,1372.2,23.6,grappler,0.772,0.608,3.68,0.35,2.06,0.0,39.8,0.98,0.0,0.833,0.585,5.54,0.133,-0.72,1.48,45.09,0.557,30.0,Switch,6
Mitch Raposo,Flyweight,1619.6,-1000000000.0,59.4,balanced,0.426,0.457,2.39,0.619,1.46,0.65,37.9,0.24,0.0,0.0,0.637,2.64,0.128,-6.84,0.37,27.03,0.265,27.7,Switch,4
Nyamjargal Tumendemberel,Flyweight,1617.1,-1000000000.0,63.5,grappler,0.813,0.462,2.86,0.588,1.84,0.696,52.0,0.86,0.333,0.0,0.644,6.31,0.173,-5.15,1.1,25.52,0.265,28.2,Orthodox,3
Lone'er Kavanagh,Flyweight,1613.4,-1000000000.0,59.7,balanced,0.464,0.602,3.85,0.562,1.16,0.941,37.8,0.35,0.0,0.25,0.592,5.31,0.126,3.12,0.44,29.72,0.347,27.0,Orthodox,4
Jeff Molina,Flyweight,1602.8,-1000000000.0,62.0,striker,0.211,0.981,5.55,0.562,0.67,0.737,37.4,0.27,0.333,0.0,0.712,9.23,0.125,11.5,0.85,34.56,0.265,28.9,Orthodox,3
Ronaldo Rodriguez,Flyweight,1494.1,-1000000000.0,44.3,balanced,0.508,0.556,3.45,0.408,0.99,0.444,65.5,0.43,0.333,0.0,0.607,8.75,0.218,-9.23,0.53,39.06,0.587,27.1,Orthodox,3
Mateus Mendonca,Flyweight,1459.3,-1000000000.0,35.7,wrestler,0.713,0.406,2.67,0.289,1.78,0.556,68.4,0.45,0.0,0.333,0.655,4.66,0.228,-9.0,0.55,37.46,0.265,27.4,Orthodox,3
Daniel Barez,Flyweight,1431.1,-1000000000.0,32.2,striker,0.274,0.813,4.28,0.493,0.91,0.667,27.7,0.24,0.0,0.5,0.611,3.21,0.092,-16.01,0.62,51.07,0.232,37.5,Orthodox,4
Zarrukh Adashev,Flyweight,1430.4,-1000000000.0,31.4,striker,0.171,0.677,3.62,0.65,0.58,1.0,23.3,0.47,0.0,0.5,0.634,2.69,0.078,2.51,0.51,28.84,0.795,33.9,Southpaw,4
Shannon Ross,Flyweight,1406.7,-1000000000.0,26.0,striker,0.156,0.725,4.15,0.557,0.67,1.0,23.3,0.27,0.0,1.0,0.57,2.64,0.078,-1.2,0.37,32.96,1.551,37.1,Switch,3
Denys Bondar,Flyweight,1386.8,-1000000000.0,27.9,wrestler,0.72,0.579,4.02,0.565,2.38,0.625,40.3,0.27,0.0,0.667,0.563,4.14,0.134,0.3,0.37,42.81,0.265,34.0,Orthodox,3
Stewart Nicoll,Flyweight,1375.3,-1000000000.0,23.0,balanced,0.349,0.543,3.61,0.497,1.37,0.286,39.0,0.27,0.0,0.667,0.651,3.93,0.13,-12.56,0.37,43.03,0.48,30.2,Orthodox,3
Jerome Rivera,Flyweight,1354.6,-1000000000.0,18.2,striker,0.155,0.606,3.41,0.484,0.58,0.333,25.2,0.24,0.0,0.75,0.459,2.31,0.084,1.6,0.32,27.09,0.661,31.2,Southpaw,4
Ciryl Gane,Heavyweight,1839.9,1839.9,90.6,striker,0.317,0.996,5.29,0.608,0.89,0.471,30.8,0.55,0.5,0.071,0.496,3.55,0.106,29.83,0.8,17.37,0.099,36.2,Orthodox,14
Tom Aspinall,Heavyweight,1829.2,1829.2,94.7,wrestler,0.768,0.9,6.96,0.57,2.34,1.0,33.5,1.04,0.8,0.1,0.69,12.02,0.114,7.65,1.58,15.0,0.044,33.2,Orthodox,10
Francis Ngannou,Heavyweight,1824.7,1824.7,87.6,balanced,0.45,0.656,2.67,0.419,0.86,0.718,31.0,0.3,0.786,0.0,0.672,4.93,0.103,-1.67,0.98,15.15,0.059,39.8,Orthodox,14
Alexander Volkov,Heavyweight,1824.5,1824.5,89.6,striker,0.377,0.994,5.12,0.544,0.79,0.694,29.7,0.16,0.368,0.105,0.609,5.59,0.101,22.99,0.41,24.74,0.121,37.7,Orthodox,19
Sergei Pavlovich,Heavyweight,1794.5,1794.5,88.2,striker,0.268,0.961,4.64,0.558,0.77,0.75,31.9,0.09,0.583,0.167,0.797,6.01,0.11,5.29,1.11,22.44,0.171,34.1,Southpaw,12
Waldo Cortes Acosta,Heavyweight,1755.5,1755.5,84.0,striker,0.362,1.0,5.21,0.547,0.7,0.739,31.7,0.17,0.385,0.0,0.709,6.76,0.108,13.13,0.7,22.58,0.037,34.7,Orthodox,13
Stipe Miocic,Heavyweight,1742.1,1742.1,81.3,balanced,0.531,0.827,4.53,0.523,1.64,0.65,66.3,0.05,0.474,0.211,0.716,9.3,0.221,0.72,0.44,37.19,0.35,43.8,Orthodox,19
Jailton Almeida,Heavyweight,1731.2,1731.2,80.5,grappler,1.0,0.538,2.77,0.442,4.4,0.667,147.1,1.28,0.636,0.091,0.806,18.01,0.49,0.91,1.19,18.9,0.071,35.0,Orthodox,11
Valter Walker,Heavyweight,1703.9,1703.9,78.9,grappler,1.0,0.557,3.46,0.427,3.92,0.55,83.9,1.58,0.8,0.0,0.601,5.68,0.284,-3.73,1.29,20.88,0.069,28.5,Orthodox,5
Curtis Blaydes,Heavyweight,1692.9,1692.9,76.1,wrestler,0.93,0.724,4.36,0.539,4.56,0.35,99.7,0.06,0.381,0.238,0.722,14.03,0.334,0.92,0.23,27.79,0.287,35.3,Orthodox,21
Fabricio Werdum,Heavyweight,1682.4,1682.4,72.6,balanced,0.459,0.778,4.47,0.549,1.23,0.267,49.0,0.43,0.444,0.167,0.639,6.85,0.163,10.56,0.65,29.15,0.327,48.9,Orthodox,18
Serghei Spivac,Heavyweight,1660.0,1660.0,70.7,wrestler,0.939,0.606,3.93,0.522,3.36,0.636,77.4,0.46,0.4,0.267,0.892,14.42,0.26,-11.77,0.49,34.59,0.196,31.4,Orthodox,15
Josh Hokit,Heavyweight,1782.7,1659.9,89.5,striker,0.404,1.0,7.97,0.44,1.18,0.75,50.4,0.19,0.75,0.0,0.8,7.64,0.172,18.54,0.95,55.58,0.089,28.6,Orthodox,4
Brando Peričić,Heavyweight,1697.0,1659.9,78.3,striker,0.201,0.975,7.74,0.583,0.94,0.714,32.4,0.22,1.0,0.0,0.63,6.1,0.18,0.0,0.75,29.7,0.27,31.9,Orthodox,3
Rizvan Kuniev,Heavyweight,1670.1,1659.9,68.6,balanced,0.352,0.672,4.5,0.463,1.1,0.913,55.2,0.25,0.0,0.0,0.737,5.31,0.19,3.46,0.51,28.04,0.104,34.3,Orthodox,2
Jairzinho Rozenstruik,Heavyweight,1653.2,1653.2,64.8,striker,0.064,0.882,3.56,0.524,0.25,0.723,11.2,0.06,0.533,0.2,0.612,2.96,0.037,7.56,0.6,19.91,0.126,38.3,Orthodox,15
Alexandr Romanov,Heavyweight,1650.1,1650.1,69.9,grappler,1.0,0.575,3.8,0.541,3.55,0.286,104.6,0.7,0.4,0.2,0.71,16.89,0.349,-0.04,0.68,21.79,0.076,35.5,Southpaw,10
Derrick Lewis,Heavyweight,1646.3,1646.3,62.4,balanced,0.303,0.685,2.77,0.399,0.67,0.524,29.5,0.04,0.5,0.344,0.781,12.01,0.099,-4.59,0.52,20.35,0.213,41.4,Orthodox,32
Alistair Overeem,Heavyweight,1635.9,1635.9,64.1,balanced,0.495,0.816,3.87,0.511,0.88,0.632,62.8,0.25,0.45,0.4,0.557,15.52,0.209,-2.53,0.83,28.35,0.556,46.1,Orthodox,20
Mick Parkin,Heavyweight,1622.1,1622.1,64.7,striker,0.404,0.888,4.98,0.597,1.26,0.75,47.2,0.17,0.2,0.0,0.656,5.34,0.161,7.9,0.47,29.56,0.069,30.7,Orthodox,5
Vitor Petrino,Heavyweight,1614.6,1614.6,63.1,wrestler,0.849,0.588,3.32,0.509,2.33,0.808,73.2,0.64,0.444,0.222,0.664,5.65,0.244,1.26,0.91,22.9,0.271,28.8,Orthodox,9
Brando Pericic,Heavyweight,1684.9,1614.5,76.5,striker,0.183,1.0,6.92,0.583,0.68,0.714,32.8,0.17,1.0,0.0,0.673,6.67,0.109,17.07,0.62,30.4,0.152,31.9,Orthodox,3
Mario Pinto,Heavyweight,1667.5,1614.5,72.5,grappler,0.784,0.61,3.3,0.578,1.76,1.0,79.1,0.6,0.667,0.0,0.71,8.27,0.264,-2.3,0.85,24.02,0.336,28.3,Orthodox,3
Tallison Teixeira,Heavyweight,1638.4,1614.5,63.1,wrestler,0.696,0.644,3.77,0.329,1.93,0.0,67.3,0.15,0.25,0.5,0.691,9.56,0.215,-0.03,0.55,25.96,0.41,26.5,Orthodox,4
Martin Buday,Heavyweight,1609.8,1609.8,60.3,striker,0.369,0.791,4.2,0.561,0.5,0.933,58.9,0.2,0.125,0.125,0.642,2.97,0.196,-6.07,0.36,33.75,0.089,34.6,Orthodox,8
