date,home,away,home_ml,away_ml,p_home_close,p_away_close,vig,n_books
2022-09-14,Detroit Tigers,Houston Astros,184,-225,0.33674,0.66326,0.0438,6
2022-09-14,Miami Marlins,Philadelphia Phillies,112,-134,0.45206,0.54794,0.04343,6
2022-09-14,Minnesota Twins,Kansas City Royals,-200,170,0.64286,0.35714,0.03704,6
2022-09-14,New York Mets,Chicago Cubs,-206,175,0.64946,0.35054,0.03737,6
2022-09-14,San Francisco Giants,Atlanta Braves,138,-165,0.40343,0.59657,0.04369,6
2022-09-14,Seattle Mariners,San Diego Padres,-115,-106,0.51026,0.48974,0.04827,6
2022-09-14,St. Louis Cardinals,Milwaukee Brewers,105,-125,0.46753,0.53247,0.04336,6
2022-09-14,Texas Rangers,Athletics,-144,118,0.56245,0.43755,0.05077,6
2022-09-14,Toronto Blue Jays,Tampa Bay Rays,-118,100,0.51982,0.48018,0.04128,6
2022-09-14,Washington Nationals,Baltimore Orioles,130,-150,0.42017,0.57983,0.03478,6
2022-09-15,Arizona Diamondbacks,Los Angeles Dodgers,105,-125,0.46753,0.53247,0.04336,6
2022-09-15,Cleveland Guardians,Chicago White Sox,132,-155,0.41543,0.58457,0.03981,6
2022-09-15,Houston Astros,Athletics,-306,245,0.72232,0.27768,0.04385,6
2022-09-15,Miami Marlins,Philadelphia Phillies,110,-130,0.45726,0.54274,0.04141,6
2022-09-15,Minnesota Twins,Kansas City Royals,-174,146,0.60947,0.39053,0.04303,6
2022-09-15,New York Mets,Pittsburgh Pirates,-265,215,0.69577,0.30423,0.04349,6
2022-09-15,St. Louis Cardinals,Cincinnati Reds,-294,235,0.71435,0.28565,0.04502,6
2022-09-15,Texas Rangers,Athletics,-162,140,0.59742,0.40258,0.03499,6
2022-09-15,Toronto Blue Jays,Tampa Bay Rays,-143,120,0.5642,0.4358,0.04302,6
2022-09-16,Arizona Diamondbacks,San Diego Padres,140,-164,0.40118,0.59882,0.03859,6
2022-09-16,Atlanta Braves,Philadelphia Phillies,-205,172,0.64684,0.35316,0.0391,6
2022-09-16,Boston Red Sox,Kansas City Royals,-228,180,0.66045,0.33955,0.0518,6
2022-09-16,Chicago Cubs,Colorado Rockies,-145,119,0.56448,0.43552,0.04846,6
2022-09-16,Cleveland Guardians,Minnesota Twins,-156,135,0.58882,0.41118,0.03491,6
2022-09-16,Detroit Tigers,Chicago White Sox,130,-158,0.41549,0.58451,0.04643,6
2022-09-16,New York Mets,Pittsburgh Pirates,-280,220,0.70219,0.29781,0.04934,6
2022-09-16,Tampa Bay Rays,Texas Rangers,-158,135,0.58972,0.41028,0.03718,6
2022-09-16,Toronto Blue Jays,Baltimore Orioles,-168,140,0.60072,0.39928,0.04353,6
2022-09-17,Arizona Diamondbacks,San Diego Padres,140,-177,0.3952,0.6048,0.05653,6
2022-09-17,Boston Red Sox,Kansas City Royals,-145,120,0.5656,0.4344,0.04638,6
2022-09-17,Chicago Cubs,Colorado Rockies,-142,120,0.56313,0.43687,0.04047,6
2022-09-17,Detroit Tigers,Chicago White Sox,131,-152,0.41751,0.58249,0.03686,6
2022-09-17,Houston Astros,Athletics,-370,290,0.75431,0.24569,0.04364,6
2022-09-17,Los Angeles Angels,Seattle Mariners,136,-162,0.40584,0.59416,0.04188,6
2022-09-17,Milwaukee Brewers,New York Yankees,104,-121,0.473,0.527,0.03891,6
2022-09-17,New York Mets,Pittsburgh Pirates,-355,262,0.73879,0.26121,0.05608,6
2022-09-17,San Francisco Giants,Los Angeles Dodgers,140,-165,0.40091,0.59909,0.03931,6
2022-09-17,St. Louis Cardinals,Cincinnati Reds,-283,224,0.70537,0.29463,0.04755,6
2022-09-17,Tampa Bay Rays,Texas Rangers,-134,114,0.55163,0.44837,0.03976,6
2022-09-17,Toronto Blue Jays,Baltimore Orioles,-165,139,0.59809,0.40191,0.04105,6
2022-09-17,Washington Nationals,Miami Marlins,110,-130,0.45726,0.54274,0.04141,6
2022-09-18,Arizona Diamondbacks,San Diego Padres,126,-150,0.42391,0.57609,0.0415,6
2022-09-18,Atlanta Braves,Philadelphia Phillies,-240,185,0.66797,0.33203,0.05676,6
2022-09-18,Boston Red Sox,Kansas City Royals,-200,170,0.64286,0.35714,0.03704,6
