date,home,away,home_ml,away_ml,p_home_close,p_away_close,vig,n_books
2022-04-12,Atlanta Braves,Washington Nationals,-175,148,0.61165,0.38835,0.0404,6
2022-04-12,Baltimore Orioles,Milwaukee Brewers,140,-162,0.4023,0.5977,0.03571,6
2022-04-12,Chicago White Sox,Seattle Mariners,-118,-105,0.51429,0.48571,0.05453,6
2022-04-12,Cincinnati Reds,Cleveland Guardians,-112,-108,0.50489,0.49511,0.04637,6
2022-04-12,Detroit Tigers,Boston Red Sox,105,-125,0.46753,0.53247,0.04336,6
2022-04-12,Los Angeles Angels,Miami Marlins,-130,107,0.53958,0.46042,0.04925,6
2022-04-12,Minnesota Twins,Los Angeles Dodgers,125,-146,0.42786,0.57214,0.03876,6
2022-04-12,New York Yankees,Toronto Blue Jays,-131,110,0.54357,0.45643,0.04329,6
2022-04-12,Philadelphia Phillies,New York Mets,-147,124,0.57139,0.42861,0.04157,6
2022-04-12,Pittsburgh Pirates,Chicago Cubs,-105,-115,0.48917,0.51083,0.04708,6
2022-04-12,San Francisco Giants,San Diego Padres,-157,135,0.58942,0.41058,0.03643,6
2022-04-12,St. Louis Cardinals,Kansas City Royals,-168,142,0.60244,0.39756,0.03939,6
2022-04-12,Tampa Bay Rays,Athletics,-209,172,0.64827,0.35173,0.04335,6
2022-04-13,Arizona Diamondbacks,Houston Astros,125,-150,0.42553,0.57447,0.04444,6
2022-04-13,Atlanta Braves,Washington Nationals,-222,182,0.66091,0.33909,0.0439,6
2022-04-13,Baltimore Orioles,Milwaukee Brewers,152,-175,0.38408,0.61592,0.03319,6
2022-04-13,Chicago White Sox,Seattle Mariners,-120,102,0.52469,0.47531,0.04153,6
2022-04-13,Cincinnati Reds,Cleveland Guardians,-130,109,0.54156,0.45844,0.04369,6
2022-04-13,Detroit Tigers,Boston Red Sox,112,-135,0.4503,0.5497,0.04506,6
2022-04-13,Minnesota Twins,Los Angeles Dodgers,162,-190,0.36811,0.63189,0.03685,6
2022-04-13,New York Yankees,Toronto Blue Jays,-168,142,0.6032,0.3968,0.03924,6
2022-04-13,Philadelphia Phillies,New York Mets,-105,-120,0.48428,0.51572,0.05765,6
2022-04-13,Pittsburgh Pirates,Chicago Cubs,106,-128,0.46354,0.53646,0.0447,6
2022-04-13,San Francisco Giants,San Diego Padres,-122,104,0.52839,0.47161,0.04196,6
2022-04-13,Tampa Bay Rays,Athletics,-190,163,0.63256,0.36744,0.0348,6
2022-04-13,Texas Rangers,Colorado Rockies,-160,135,0.59148,0.40852,0.04165,6
2022-04-14,Chicago White Sox,Seattle Mariners,100,-119,0.47921,0.52079,0.04338,6
2022-04-14,Miami Marlins,Philadelphia Phillies,-115,-106,0.50911,0.49089,0.05062,6
2022-04-14,Milwaukee Brewers,St. Louis Cardinals,-145,124,0.56948,0.43052,0.03926,6
2022-04-14,New York Yankees,Toronto Blue Jays,-136,116,0.55356,0.44644,0.03941,6
2022-04-14,Tampa Bay Rays,Athletics,-224,185,0.66319,0.33681,0.04176,6
2022-04-15,Baltimore Orioles,New York Yankees,178,-206,0.34848,0.65152,0.0341,6
2022-04-15,Boston Red Sox,Minnesota Twins,-128,105,0.53465,0.46535,0.04824,6
2022-04-15,Chicago White Sox,Tampa Bay Rays,-135,115,0.55259,0.44741,0.03958,6
2022-04-15,Cleveland Guardians,San Francisco Giants,130,-152,0.41857,0.58143,0.03874,6
2022-04-15,Colorado Rockies,Chicago Cubs,-132,110,0.54438,0.45562,0.04516,6
2022-04-15,Kansas City Royals,Detroit Tigers,-138,115,0.55489,0.44511,0.04495,6
2022-04-15,Los Angeles Dodgers,Cincinnati Reds,-272,222,0.70231,0.29769,0.04162,6
2022-04-15,Miami Marlins,Philadelphia Phillies,-130,110,0.54274,0.45726,0.04141,6
2022-04-15,New York Mets,Arizona Diamondbacks,-248,202,0.68299,0.31701,0.04281,6
2022-04-15,San Diego Padres,Atlanta Braves,-110,-110,0.5,0.5,0.04762,6
2022-04-15,Texas Rangers,Los Angeles Angels,125,-150,0.42553,0.57447,0.04444,6
2022-04-15,Toronto Blue Jays,Athletics,-200,170,0.64286,0.35714,0.03704,6
2022-04-16,Baltimore Orioles,New York Yankees,155,-184,0.37706,0.62294,0.04004,6
2022-04-16,Boston Red Sox,Minnesota Twins,-145,122,0.56838,0.43162,0.04127,6
2022-04-16,Chicago White Sox,Tampa Bay Rays,-130,105,0.53676,0.46324,0.05302,6
2022-04-16,Cleveland Guardians,San Francisco Giants,-110,-106,0.50499,0.49501,0.0395,6
2022-04-16,Colorado Rockies,Chicago Cubs,-125,105,0.53247,0.46753,0.04336,6
2022-04-16,Kansas City Royals,Detroit Tigers,-130,110,0.54274,0.45726,0.04141,6
2022-04-16,Los Angeles Dodgers,Cincinnati Reds,-282,228,0.7075,0.2925,0.04391,6
2022-04-16,Miami Marlins,Philadelphia Phillies,-139,116,0.55735,0.44265,0.04348,6
2022-04-16,Milwaukee Brewers,St. Louis Cardinals,-158,132,0.58743,0.41257,0.04251,6
2022-04-16,New York Mets,Arizona Diamondbacks,-166,145,0.60485,0.39515,0.03293,6
2022-04-16,Pittsburgh Pirates,Washington Nationals,-115,-105,0.51083,0.48917,0.04708,6
2022-04-16,San Diego Padres,Atlanta Braves,-115,-106,0.50968,0.49032,0.04945,6
2022-04-16,Seattle Mariners,Houston Astros,-104,-120,0.48369,0.51631,0.05646,6
2022-04-16,Texas Rangers,Los Angeles Angels,100,-118,0.48018,0.51982,0.04128,6
2022-04-16,Toronto Blue Jays,Athletics,-218,180,0.65731,0.34269,0.04218,6
2022-04-17,Baltimore Orioles,New York Yankees,170,-200,0.35714,0.64286,0.03704,6
2022-04-17,Boston Red Sox,Minnesota Twins,-130,109,0.54156,0.45844,0.04369,6
2022-04-17,Chicago White Sox,Tampa Bay Rays,-115,-105,0.51083,0.48917,0.04708,6
2022-04-17,Cleveland Guardians,San Francisco Giants,106,-128,0.46311,0.53689,0.04567,6
2022-04-17,Colorado Rockies,Chicago Cubs,-130,110,0.54274,0.45726,0.04141,6
2022-04-17,Los Angeles Dodgers,Cincinnati Reds,-222,178,0.65689,0.34311,0.05028,6
2022-04-17,Miami Marlins,Philadelphia Phillies,130,-151,0.41952,0.58048,0.03638,6
2022-04-17,Milwaukee Brewers,St. Louis Cardinals,-140,120,0.56241,0.43759,0.03875,6
2022-04-17,New York Mets,Arizona Diamondbacks,-204,172,0.64647,0.35353,0.03803,6
2022-04-17,Pittsburgh Pirates,Washington Nationals,108,-128,0.46131,0.53869,0.04217,6
2022-04-17,San Diego Padres,Atlanta Braves,-132,110,0.54479,0.45521,0.04608,6
2022-04-17,Seattle Mariners,Houston Astros,110,-140,0.44907,0.55093,0.06039,6
2022-04-17,Texas Rangers,Los Angeles Angels,-110,-110,0.5,0.5,0.04762,6
2022-04-17,Toronto Blue Jays,Athletics,-272,220,0.70068,0.29932,0.04404,6
2022-04-18,Boston Red Sox,Minnesota Twins,-145,122,0.56838,0.43162,0.04127,6
2022-04-18,Chicago Cubs,Tampa Bay Rays,125,-145,0.42888,0.57112,0.03628,6
2022-04-18,Milwaukee Brewers,Pittsburgh Pirates,-182,154,0.6218,0.3782,0.03895,6
2022-04-19,Athletics,Baltimore Orioles,-193,165,0.63578,0.36422,0.03606,6
2022-04-19,Boston Red Sox,Toronto Blue Jays,-140,120,0.56241,0.43759,0.03875,6
2022-04-19,Chicago Cubs,Tampa Bay Rays,106,-126,0.46484,0.53516,0.04178,6
2022-04-19,Colorado Rockies,Philadelphia Phillies,140,-165,0.40091,0.59909,0.03931,6
2022-04-19,Detroit Tigers,New York Yankees,185,-224,0.33681,0.66319,0.04176,6
2022-04-19,Houston Astros,Los Angeles Angels,-143,122,0.56643,0.43357,0.03893,6
2022-04-19,Los Angeles Dodgers,Atlanta Braves,-224,182,0.66122,0.33878,0.04486,6
2022-04-19,Miami Marlins,St. Louis Cardinals,-104,-114,0.48909,0.51091,0.0448,6
2022-04-19,Milwaukee Brewers,Pittsburgh Pirates,-256,215,0.69385,0.30615,0.03696,6
2022-04-19,New York Mets,San Francisco Giants,-125,105,0.53247,0.46753,0.04336,1
2022-04-19,San Diego Padres,Cincinnati Reds,-188,165,0.63347,0.36653,0.02953,6
2022-04-19,Washington Nationals,Arizona Diamondbacks,-130,110,0.54274,0.45726,0.04141,5
2022-04-20,Athletics,Baltimore Orioles,-131,110,0.54357,0.45643,0.04329,6
2022-04-20,Boston Red Sox,Toronto Blue Jays,100,-122,0.47639,0.52361,0.04955,6
2022-04-20,Chicago Cubs,Tampa Bay Rays,-106,-111,0.49504,0.50496,0.0418,6
2022-04-20,Cleveland Guardians,Chicago White Sox,-145,125,0.57112,0.42888,0.03628,5
2022-04-20,Colorado Rockies,Philadelphia Phillies,115,-135,0.44741,0.55259,0.03958,6
2022-04-20,Detroit Tigers,New York Yankees,148,-168,0.39219,0.60781,0.03021,6
2022-04-20,Houston Astros,Los Angeles Angels,-160,138,0.59404,0.40596,0.03718,6
2022-04-20,Kansas City Royals,Minnesota Twins,106,-127,0.46518,0.53482,0.04609,6
2022-04-20,Los Angeles Dodgers,Atlanta Braves,-158,135,0.58972,0.41028,0.03718,6
2022-04-20,Miami Marlins,St. Louis Cardinals,-144,118,0.56357,0.43643,0.04867,6
2022-04-20,Milwaukee Brewers,Pittsburgh Pirates,-245,200,0.68056,0.31944,0.04348,6
2022-04-20,New York Mets,San Francisco Giants,105,-124,0.46887,0.53113,0.04038,6
2022-04-20,San Diego Padres,Cincinnati Reds,-220,180,0.65812,0.34188,0.04464,6
2022-04-20,Seattle Mariners,Texas Rangers,-146,125,0.57146,0.42854,0.03711,6
2022-04-20,Washington Nationals,Arizona Diamondbacks,-124,106,0.53263,0.46737,0.04118,6
2022-04-21,Athletics,Baltimore Orioles,-134,111,0.54676,0.45324,0.04567,6
2022-04-21,Boston Red Sox,Toronto Blue Jays,-105,-115,0.48917,0.51083,0.04708,6
2022-04-21,Chicago Cubs,Pittsburgh Pirates,-163,140,0.59798,0.40202,0.03644,6
2022-04-21,Cleveland Guardians,Chicago White Sox,126,-150,0.42532,0.57468,0.04266,6
2022-04-21,Detroit Tigers,New York Yankees,145,-168,0.39435,0.60565,0.03503,6
2022-04-21,Kansas City Royals,Minnesota Twins,101,-125,0.47244,0.52756,0.05307,6
2022-04-21,Miami Marlins,St. Louis Cardinals,-135,115,0.55259,0.44741,0.03958,5
2022-04-21,New York Mets,San Francisco Giants,-134,115,0.5522,0.4478,0.03868,6
2022-04-21,Seattle Mariners,Texas Rangers,-159,135,0.59061,0.40939,0.03943,6
2022-04-21,Washington Nationals,Arizona Diamondbacks,-133,112,0.54754,0.45246,0.04251,6
2022-04-22,Atlanta Braves,Miami Marlins,-148,120,0.56731,0.43269,0.05051,6
2022-04-22,Cincinnati Reds,St. Louis Cardinals,104,-125,0.46814,0.53186,0.04455,6
2022-04-22,New York Yankees,Cleveland Guardians,-185,155,0.62339,0.37661,0.04128,6
2022-04-22,Philadelphia Phillies,Milwaukee Brewers,-125,105,0.53247,0.46753,0.04336,6
2022-04-22,Seattle Mariners,Texas Rangers,-130,110,0.54274,0.45726,0.04141,6
2022-04-22,Tampa Bay Rays,Boston Red Sox,-148,119,0.56619,0.43381,0.05258,6
2022-04-22,Washington Nationals,San Francisco Giants,115,-135,0.44741,0.55259,0.03958,6
2022-04-23,Arizona Diamondbacks,New York Mets,105,-124,0.46798,0.53202,0.04237,6
2022-04-23,Athletics,Texas Rangers,118,-144,0.43826,0.56174,0.04909,6
2022-04-23,Atlanta Braves,Miami Marlins,-163,134,0.59136,0.40864,0.04804,6
2022-04-23,Chicago Cubs,Pittsburgh Pirates,-176,155,0.61896,0.38104,0.02918,6
2022-04-23,Cincinnati Reds,St. Louis Cardinals,-116,-105,0.51134,0.48866,0.04816,6
2022-04-23,Detroit Tigers,Colorado Rockies,385,-600,0.19391,0.80609,0.06333,4
2022-04-23,Houston Astros,Toronto Blue Jays,-176,150,0.61428,0.38572,0.03702,6
2022-04-23,Los Angeles Angels,Baltimore Orioles,-180,155,0.62111,0.37889,0.03501,6
2022-04-23,Minnesota Twins,Chicago White Sox,-114,-110,0.50421,0.49579,0.05652,6
2022-04-23,New York Yankees,Cleveland Guardians,-200,168,0.64072,0.35928,0.0405,6
2022-04-23,Philadelphia Phillies,Milwaukee Brewers,-146,125,0.57214,0.42786,0.03876,6
2022-04-23,San Diego Padres,Los Angeles Dodgers,135,-156,0.41118,0.58882,0.03491,6
2022-04-23,Seattle Mariners,Kansas City Royals,-140,115,0.55638,0.44362,0.04845,6
2022-04-23,Tampa Bay Rays,Boston Red Sox,-144,122,0.56658,0.43342,0.04163,6
2022-04-23,Washington Nationals,San Francisco Giants,149,-175,0.38692,0.61308,0.03797,6
2022-04-24,Arizona Diamondbacks,New York Mets,140,-162,0.4023,0.5977,0.03571,6
2022-04-24,Athletics,Texas Rangers,100,-120,0.47826,0.52174,0.04545,6
2022-04-24,Atlanta Braves,Miami Marlins,-132,110,0.54479,0.45521,0.04608,6
2022-04-24,Chicago Cubs,Pittsburgh Pirates,-155,135,0.58821,0.41179,0.03338,6
2022-04-24,Cincinnati Reds,St. Louis Cardinals,126,-150,0.42391,0.57609,0.0415,6
2022-04-24,Detroit Tigers,Colorado Rockies,-130,110,0.54274,0.45726,0.04141,6
2022-04-24,Houston Astros,Toronto Blue Jays,-130,108,0.53977,0.46023,0.04715,6
2022-04-24,Los Angeles Angels,Baltimore Orioles,-279,228,0.70682,0.29318,0.04149,6
2022-04-24,Minnesota Twins,Chicago White Sox,-106,-112,0.49231,0.50769,0.04279,6
2022-04-24,New York Yankees,Cleveland Guardians,-212,178,0.65328,0.34672,0.03933,6
2022-04-24,Philadelphia Phillies,Milwaukee Brewers,-143,122,0.56698,0.43302,0.03792,6
2022-04-24,San Diego Padres,Los Angeles Dodgers,115,-137,0.44587,0.55413,0.04318,6
2022-04-24,Seattle Mariners,Kansas City Royals,-176,152,0.61688,0.38312,0.03372,6
2022-04-24,Tampa Bay Rays,Boston Red Sox,-180,156,0.62226,0.37774,0.03208,6
2022-04-24,Washington Nationals,San Francisco Giants,162,-193,0.36686,0.63314,0.04038,6
2022-04-25,Milwaukee Brewers,San Francisco Giants,-200,166,0.63986,0.36014,0.0419,6
2022-04-25,Philadelphia Phillies,Colorado Rockies,-188,155,0.62471,0.37529,0.04493,6
2022-04-25,St. Louis Cardinals,New York Mets,127,-154,0.42082,0.57918,0.04683,6
2022-04-25,Toronto Blue Jays,Boston Red Sox,-130,110,0.54274,0.45726,0.04141,6
2022-04-26,Arizona Diamondbacks,Los Angeles Dodgers,164,-192,0.36595,0.63405,0.03704,6
2022-04-26,Atlanta Braves,Chicago Cubs,-178,152,0.61808,0.38192,0.03697,6
2022-04-26,Chicago White Sox,Kansas City Royals,-160,138,0.59455,0.40545,0.03629,6
2022-04-26,Cincinnati Reds,San Diego Padres,144,-170,0.39405,0.60595,0.03794,6
2022-04-26,Los Angeles Angels,Cleveland Guardians,-130,110,0.54274,0.45726,0.04141,6
2022-04-26,Minnesota Twins,Detroit Tigers,-148,126,0.57444,0.42556,0.03746,6
2022-04-26,New York Yankees,Baltimore Orioles,-278,230,0.7082,0.2918,0.03848,6
2022-04-26,Philadelphia Phillies,Colorado Rockies,-168,138,0.59793,0.40207,0.04722,6
2022-04-26,Pittsburgh Pirates,Milwaukee Brewers,149,-172,0.38816,0.61184,0.03463,6
2022-04-26,St. Louis Cardinals,New York Mets,105,-125,0.46753,0.53247,0.04336,6
2022-04-26,Tampa Bay Rays,Seattle Mariners,-131,111,0.54475,0.45525,0.04103,6
2022-04-26,Texas Rangers,Houston Astros,114,-138,0.44606,0.55394,0.04515,6
2022-04-26,Toronto Blue Jays,Boston Red Sox,-206,174,0.64822,0.35178,0.03937,6
2022-04-26,Washington Nationals,Miami Marlins,110,-134,0.45362,0.54638,0.04975,6
2022-04-27,Arizona Diamondbacks,Los Angeles Dodgers,185,-225,0.33635,0.66365,0.04318,6
2022-04-27,Atlanta Braves,Chicago Cubs,-200,171,0.64371,0.35629,0.03567,6
2022-04-27,Chicago White Sox,Kansas City Royals,-200,168,0.64115,0.35885,0.0398,6
2022-04-27,Cincinnati Reds,San Diego Padres,145,-167,0.39488,0.60512,0.03363,6
2022-04-27,Los Angeles Angels,Cleveland Guardians,-164,140,0.59882,0.40118,0.03859,6
2022-04-27,Minnesota Twins,Detroit Tigers,-200,170,0.64286,0.35714,0.03704,6
2022-04-27,New York Yankees,Baltimore Orioles,-258,208,0.68906,0.31094,0.04587,6
2022-04-27,Philadelphia Phillies,Colorado Rockies,-218,180,0.65731,0.34269,0.04218,6
2022-04-27,Pittsburgh Pirates,Milwaukee Brewers,148,-175,0.38787,0.61213,0.03959,6
2022-04-27,San Francisco Giants,Athletics,-265,218,0.69744,0.30256,0.04099,6
2022-04-27,St. Louis Cardinals,New York Mets,100,-120,0.47826,0.52174,0.04545,6
2022-04-27,Tampa Bay Rays,Seattle Mariners,-145,122,0.56783,0.43217,0.04229,6
2022-04-27,Texas Rangers,Houston Astros,-105,-118,0.48571,0.51429,0.05453,6
2022-04-27,Toronto Blue Jays,Boston Red Sox,-128,105,0.53465,0.46535,0.04824,6
2022-04-27,Washington Nationals,Miami Marlins,122,-148,0.42992,0.57008,0.0454,6
2022-04-28,Atlanta Braves,Chicago Cubs,-220,180,0.65812,0.34188,0.04464,6
2022-04-28,Chicago White Sox,Kansas City Royals,-172,150,0.61254,0.38746,0.03235,6
2022-04-28,Cincinnati Reds,San Diego Padres,-105,-114,0.4907,0.5093,0.04381,6
2022-04-28,Los Angeles Angels,Cleveland Guardians,-232,180,0.66192,0.33808,0.05639,6
2022-04-28,Minnesota Twins,Detroit Tigers,-141,120,0.56277,0.43723,0.03961,6
2022-04-28,New York Yankees,Baltimore Orioles,-242,192,0.67411,0.32589,0.04905,6
2022-04-28,Philadelphia Phillies,Colorado Rockies,-210,172,0.64863,0.35137,0.04439,6
2022-04-28,Pittsburgh Pirates,Milwaukee Brewers,136,-158,0.40947,0.59053,0.03703,6
2022-04-28,San Francisco Giants,Athletics,-161,138,0.59483,0.40517,0.03703,6
2022-04-28,St. Louis Cardinals,Arizona Diamondbacks,-175,154,0.61732,0.38268,0.03084,6
2022-04-28,Tampa Bay Rays,Seattle Mariners,-158,136,0.59053,0.40947,0.03703,6
2022-04-28,Texas Rangers,Houston Astros,-104,-116,0.48758,0.51242,0.04804,6
2022-04-28,Toronto Blue Jays,Boston Red Sox,-142,121,0.56496,0.43504,0.04012,6
2022-04-28,Washington Nationals,Miami Marlins,124,-144,0.43087,0.56913,0.03843,6
2022-04-29,Baltimore Orioles,Boston Red Sox,105,-125,0.46753,0.53247,0.04336,6
2022-04-29,Chicago White Sox,Los Angeles Angels,-150,130,0.57983,0.42017,0.03478,6
2022-04-29,Miami Marlins,Seattle Mariners,-110,-110,0.5,0.5,0.04762,6
2022-04-29,New York Mets,Philadelphia Phillies,-125,106,0.53368,0.46632,0.04099,6
2022-04-29,Pittsburgh Pirates,San Diego Padres,146,-177,0.3893,0.6107,0.04632,6
2022-04-29,Tampa Bay Rays,Minnesota Twins,-135,115,0.55259,0.44741,0.03958,6
2022-04-29,Toronto Blue Jays,Houston Astros,-130,110,0.54233,0.45767,0.04046,6
2022-04-30,Athletics,Cleveland Guardians,-154,129,0.581,0.419,0.0422,6
2022-04-30,Baltimore Orioles,Boston Red Sox,158,-188,0.37256,0.62744,0.04037,6
2022-04-30,Kansas City Royals,New York Yankees,172,-202,0.35409,0.64591,0.03639,6
2022-04-30,Los Angeles Dodgers,Detroit Tigers,-260,208,0.68952,0.31048,0.04743,6
2022-04-30,Milwaukee Brewers,Chicago Cubs,-142,121,0.56496,0.43504,0.04012,6
2022-04-30,New York Mets,Philadelphia Phillies,-132,110,0.54479,0.45521,0.04608,6
2022-04-30,Pittsburgh Pirates,San Diego Padres,140,-163,0.40202,0.59798,0.03644,6
2022-04-30,San Francisco Giants,Washington Nationals,-236,192,0.67275,0.32725,0.0447,6
2022-04-30,St. Louis Cardinals,Arizona Diamondbacks,-192,166,0.63688,0.36312,0.03335,6
2022-04-30,Tampa Bay Rays,Minnesota Twins,-200,169,0.642,0.358,0.03841,6
2022-04-30,Texas Rangers,Atlanta Braves,106,-128,0.46311,0.53689,0.04567,6
2022-04-30,Toronto Blue Jays,Houston Astros,-160,138,0.59397,0.40603,0.03481,6
2022-05-01,Athletics,Cleveland Guardians,102,-122,0.4733,0.5267,0.04338,6
2022-05-01,Baltimore Orioles,Boston Red Sox,121,-142,0.43504,0.56496,0.04012,6
2022-05-01,Chicago White Sox,Los Angeles Angels,105,-121,0.47117,0.52883,0.03532,5
2022-05-01,Colorado Rockies,Cincinnati Reds,-146,124,0.57091,0.42909,0.0381,6
2022-05-01,Kansas City Royals,New York Yankees,172,-200,0.35587,0.64413,0.03499,6
2022-05-01,Los Angeles Dodgers,Detroit Tigers,-370,282,0.7507,0.2493,0.04867,6
2022-05-01,Miami Marlins,Seattle Mariners,-130,110,0.54274,0.45726,0.04141,6
2022-05-01,Milwaukee Brewers,Chicago Cubs,-232,192,0.67134,0.32866,0.04022,6
2022-05-01,New York Mets,Philadelphia Phillies,-188,166,0.63478,0.36522,0.02741,6
2022-05-01,Pittsburgh Pirates,San Diego Padres,152,-180,0.38121,0.61879,0.0389,6
2022-05-01,San Francisco Giants,Washington Nationals,-178,154,0.61854,0.38146,0.03412,6
2022-05-01,St. Louis Cardinals,Arizona Diamondbacks,-192,158,0.6289,0.3711,0.04647,6
2022-05-01,Texas Rangers,Atlanta Braves,122,-141,0.43556,0.56444,0.03653,6
2022-05-01,Toronto Blue Jays,Houston Astros,-175,144,0.60826,0.39174,0.0462,6
2022-05-02,Baltimore Orioles,Minnesota Twins,130,-150,0.42049,0.57951,0.03398,6
2022-05-02,Chicago White Sox,Los Angeles Angels,-148,126,0.57402,0.42598,0.04104,6
2022-05-02,Miami Marlins,Arizona Diamondbacks,-172,146,0.60822,0.39178,0.03968,6
2022-05-02,New York Mets,Atlanta Braves,-111,-110,0.50162,0.49838,0.04874,6
2022-05-02,St. Louis Cardinals,Kansas City Royals,-170,134,0.59542,0.40458,0.05629,6
2022-05-02,Toronto Blue Jays,New York Yankees,100,-120,0.47826,0.52174,0.04545,6
2022-05-03,Athletics,Tampa Bay Rays,138,-165,0.40343,0.59657,0.04369,6
2022-05-03,Baltimore Orioles,Minnesota Twins,145,-168,0.39409,0.60591,0.03572,6
2022-05-03,Boston Red Sox,Los Angeles Angels,110,-130,0.45726,0.54274,0.04141,6
2022-05-03,Chicago Cubs,Chicago White Sox,115,-135,0.44741,0.55259,0.03958,6
2022-05-03,Houston Astros,Seattle Mariners,-145,125,0.57112,0.42888,0.03628,6
2022-05-03,Miami Marlins,Arizona Diamondbacks,-196,165,0.63719,0.36281,0.04009,6
2022-05-03,Milwaukee Brewers,Cincinnati Reds,-235,195,0.6742,0.3258,0.04048,6
2022-05-03,New York Mets,Atlanta Braves,-110,-110,0.5,0.5,0.04762,1
2022-05-03,Philadelphia Phillies,Texas Rangers,-153,124,0.57585,0.42415,0.05018,6
2022-05-03,Toronto Blue Jays,New York Yankees,-134,114,0.54968,0.45032,0.04012,6
2022-05-04,Athletics,Tampa Bay Rays,109,-130,0.45844,0.54156,0.04369,6
2022-05-04,Baltimore Orioles,Minnesota Twins,118,-140,0.44021,0.55979,0.04205,6
2022-05-04,Boston Red Sox,Los Angeles Angels,-152,124,0.57499,0.42501,0.05039,6
2022-05-04,Chicago Cubs,Chicago White Sox,125,-144,0.42923,0.57077,0.03545,6
2022-05-04,Colorado Rockies,Washington Nationals,-148,125,0.57282,0.42718,0.0404,6
2022-05-04,Houston Astros,Seattle Mariners,-163,138,0.59546,0.40454,0.04082,6
2022-05-04,Kansas City Royals,St. Louis Cardinals,-110,-110,0.49946,0.50054,0.04648,6
2022-05-04,Los Angeles Dodgers,San Francisco Giants,-143,120,0.5642,0.4358,0.04302,6
2022-05-04,Miami Marlins,Arizona Diamondbacks,-172,148,0.61063,0.38937,0.03558,6
2022-05-04,Milwaukee Brewers,Cincinnati Reds,-314,252,0.72771,0.27229,0.04185,6
2022-05-04,New York Mets,Atlanta Braves,-136,115,0.55298,0.44702,0.04049,6
2022-05-04,Philadelphia Phillies,Texas Rangers,-194,163,0.63443,0.36557,0.04009,6
2022-05-04,Toronto Blue Jays,New York Yankees,135,-155,0.41179,0.58821,0.03338,6
2022-05-05,Baltimore Orioles,Minnesota Twins,130,-158,0.41549,0.58451,0.04643,6
2022-05-05,Boston Red Sox,Los Angeles Angels,110,-135,0.45323,0.54677,0.05066,6
2022-05-05,Cleveland Guardians,Toronto Blue Jays,133,-155,0.41386,0.58614,0.03703,6
2022-05-05,Colorado Rockies,Washington Nationals,-155,132,0.58562,0.41438,0.03795,6
2022-05-05,Los Angeles Dodgers,San Francisco Giants,-172,150,0.61279,0.38721,0.03303,6
2022-05-05,Milwaukee Brewers,Cincinnati Reds,-245,202,0.68236,0.31764,0.04072,6
2022-05-05,Philadelphia Phillies,New York Mets,-152,130,0.58143,0.41857,0.03874,6
2022-05-06,Atlanta Braves,Milwaukee Brewers,-109,-110,0.49891,0.50109,0.04534,6
2022-05-06,Boston Red Sox,Chicago White Sox,-171,145,0.60722,0.39278,0.03916,6
2022-05-06,Houston Astros,Detroit Tigers,-161,139,0.59584,0.40416,0.03527,6
2022-05-06,San Diego Padres,Miami Marlins,-105,-115,0.48917,0.51083,0.04708,6
2022-05-06,San Francisco Giants,St. Louis Cardinals,-116,-104,0.5131,0.4869,0.04456,6
2022-05-06,Seattle Mariners,Tampa Bay Rays,114,-138,0.44646,0.55354,0.0491,6
2022-05-07,Arizona Diamondbacks,Colorado Rockies,-146,122,0.5683,0.4317,0.04579,6
2022-05-07,Atlanta Braves,Milwaukee Brewers,-110,-109,0.50109,0.49891,0.04534,6
2022-05-07,Boston Red Sox,Chicago White Sox,116,-136,0.44567,0.55433,0.0412,6
2022-05-07,Chicago Cubs,Los Angeles Dodgers,155,-180,0.37889,0.62111,0.03501,6
2022-05-07,Cincinnati Reds,Pittsburgh Pirates,110,-135,0.45323,0.54677,0.05066,6
2022-05-07,Houston Astros,Detroit Tigers,-230,185,0.66514,0.33486,0.04785,6
2022-05-07,Los Angeles Angels,Washington Nationals,-188,162,0.63126,0.36874,0.03313,6
2022-05-07,Minnesota Twins,Athletics,-190,160,0.62989,0.37011,0.03919,6
2022-05-07,San Diego Padres,Miami Marlins,-134,110,0.54559,0.45441,0.04792,6
2022-05-07,San Francisco Giants,St. Louis Cardinals,-138,118,0.55737,0.44263,0.03872,6
2022-05-07,Seattle Mariners,Tampa Bay Rays,-130,110,0.54274,0.45726,0.04141,6
2022-05-08,Arizona Diamondbacks,Colorado Rockies,-128,108,0.53826,0.46174,0.04121,6
2022-05-08,Atlanta Braves,Milwaukee Brewers,-143,120,0.5642,0.4358,0.04302,6
2022-05-08,Boston Red Sox,Chicago White Sox,-174,150,0.61379,0.38621,0.0357,6
2022-05-08,Chicago Cubs,Los Angeles Dodgers,188,-228,0.33365,0.66635,0.04248,6
2022-05-08,Cincinnati Reds,Pittsburgh Pirates,-140,120,0.56204,0.43796,0.03788,6
2022-05-08,Cleveland Guardians,Toronto Blue Jays,170,-200,0.35714,0.64286,0.03704,6
2022-05-08,Houston Astros,Detroit Tigers,-180,158,0.6234,0.3766,0.03121,6
2022-05-08,Los Angeles Angels,Washington Nationals,-160,140,0.59656,0.40344,0.03279,6
2022-05-08,Minnesota Twins,Athletics,-161,137,0.59382,0.40618,0.0388,6
2022-05-08,Philadelphia Phillies,New York Mets,128,-150,0.4223,0.5777,0.0386,5
2022-05-08,San Diego Padres,Miami Marlins,-120,100,0.52174,0.47826,0.04545,6
