team,matches_3y,per_year,app_frac
Surrey,0,0.0,0.75
Sweden,34,11.3,0.75
Switzerland,38,12.7,0.671
Syria,33,11.0,0.773
Székely Land,2,0.7,0.9
Sápmi,1,0.3,0.9
São Tomé and Príncipe,13,4.3,0.9
Tahiti,15,5.0,0.9
Taiwan,20,6.7,0.9
Tajikistan,28,9.3,0.9
Tamil Eelam,6,2.0,0.9
Tanzania,34,11.3,0.75
Thailand,40,13.3,0.637
Tibet,4,1.3,0.9
Ticino,1,0.3,0.9
Timor-Leste,16,5.3,0.9
Togo,23,7.7,0.9
Tonga,8,2.7,0.9
Trinidad and Tobago,41,13.7,0.622
Tunisia,45,15.0,0.6
Turkey,38,12.7,0.671
Turkmenistan,15,5.0,0.9
Turks and Caicos Islands,12,4.0,0.9
Tuvalu,4,1.3,0.9
Two Sicilies,2,0.7,0.9
Uganda,28,9.3,0.9
Ukraine,33,11.0,0.773
United Arab Emirates,38,12.7,0.671
United Koreans in Japan,0,0.0,0.75
United States,49,16.3,0.6
United States Virgin Islands,14,4.7,0.9
Uruguay,38,12.7,0.671
Uzbekistan,39,13.0,0.654
Vanuatu,23,7.7,0.9
Vatican City,0,0.0,0.75
Venezuela,32,10.7,0.797
Vietnam,32,10.7,0.797
Vietnam Republic,0,0.0,0.75
Wales,30,10.0,0.85
Wallis Islands and Futuna,0,0.0,0.75
West Papua,0,0.0,0.75
Western Armenia,0,0.0,0.75
Western Australia,0,0.0,0.75
Western Isles,6,2.0,0.9
Western Sahara,0,0.0,0.75
Yemen,19,6.3,0.9
Yemen DPR,0,0.0,0.75
Ynys Môn,6,2.0,0.9
Yorkshire,0,0.0,0.75
Yoruba Nation,0,0.0,0.75
Yugoslavia,0,0.0,0.75
Zambia,32,10.7,0.797
Zanzibar,4,1.3,0.9
Zimbabwe,26,8.7,0.9
Åland Islands,4,1.3,0.9
