player,team,apps,npxg,goals,shots,pen_sh,pen_g,fk_sh,fk_xg,fk_g,assists,xa,key_passes
Kylian Mbappé Lottin,France,15.25,5.19,9.1,58.2,3.65,3.1,2.8,0.125,0.0,2.95,2.138,18.6
Romelu Lukaku Menama,Belgium,10.85,5.14,4.0,27.9,0.55,0.55,0.55,0.023,0.0,1.0,0.666,7.7
Harry Kane,England,17.05,4.97,10.3,42.5,5.3,4.05,0.0,0.0,0.0,2.1,1.622,12.2
Cristiano Ronaldo dos Santos Aveiro,Portugal,12.5,4.89,7.25,50.9,6.25,4.8,12.75,0.52,0.45,1.55,2.189,12.8
Kai Havertz,Germany,8.6,4.42,4.5,28.6,2.0,2.0,0.0,0.0,0.0,1.0,0.614,5.6
Lautaro Javier Martínez,Argentina,10.2,4.37,5.7,21.5,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Borja Morata Martín,Spain,13.1,4.22,4.75,30.1,1.1,0.0,0.0,0.0,0.0,0.7,0.534,5.9
Lionel Andrés Messi Cuccittini,Argentina,11.7,4.02,7.75,45.9,6.35,4.2,5.35,0.283,0.0,3.55,4.3,31.3
Breel-Donald Embolo,Switzerland,12.35,3.91,3.95,20.1,0.0,0.0,0.0,0.0,0.0,0.45,0.82,7.0
Memphis Depay,Netherlands,11.7,3.54,2.8,31.6,0.55,0.55,2.0,0.115,0.0,1.55,1.845,16.4
Aleksandar Mitrović,Serbia,6.45,3.22,1.85,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.053,1.6
Olivier Giroud,France,12.45,3.08,3.35,22.3,0.55,0.55,0.0,0.0,0.0,0.45,0.479,6.2
Daniel Olmo Carvajal,Spain,11.55,3.04,4.25,38.6,1.1,0.55,0.55,0.004,0.0,4.35,2.24,19.3
Antoine Griezmann,France,16.25,2.9,2.35,30.0,1.35,1.35,3.05,0.107,0.0,3.0,2.867,31.5
Julián Álvarez,Argentina,9.9,2.88,5.8,17.7,1.0,1.0,0.0,0.0,0.0,0.0,0.134,2.4
Neymar da Silva Santos Junior,Brazil,4.35,2.82,2.3,20.5,0.7,0.7,2.3,0.076,0.0,0.45,1.465,13.6
Robert Lewandowski,Poland,7.8,2.71,4.05,24.1,2.4,1.7,1.7,0.069,0.0,0.7,0.559,7.5
Victor James Osimhen,Nigeria,5.95,2.65,0.85,20.4,0.0,0.0,0.0,0.0,0.0,0.85,0.512,4.2
Andrej Kramarić,Croatia,13.25,2.37,3.3,18.6,0.45,0.45,0.0,0.0,0.0,0.55,0.577,14.2
Yoane Wissa,Congo DR,5.95,2.27,2.55,17.8,1.7,1.7,2.55,0.11,0.0,0.0,0.278,4.2
Ricardo Daniel Pepi,United States,3.0,2.16,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,3.0
Niclas Füllkrug,Germany,7.1,2.1,3.4,14.6,0.0,0.0,0.0,0.0,0.0,0.7,0.747,8.4
Youssef En-Nesyri,Morocco,7.9,2.05,2.7,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.21,2.4
Darwin Gabriel Núñez Ribeiro,Uruguay,8.1,2.01,2.0,23.1,0.0,0.0,1.0,0.083,0.0,1.0,0.671,5.7
Patrik Schick,Czech Republic,4.75,2.0,3.75,15.8,0.55,0.55,0.55,0.03,0.0,0.0,0.09,2.0
Raheem Sterling,England,8.65,1.92,2.35,13.3,0.0,0.0,0.55,0.033,0.0,1.0,0.517,3.9
Jonathan David,Canada,8.1,1.91,4.0,15.6,2.0,2.0,0.0,0.0,0.0,0.0,0.417,6.0
Luis Alberto Suárez Díaz,Uruguay,8.35,1.9,2.9,13.7,1.0,1.0,1.8,0.098,0.45,1.15,0.52,3.9
Emilio Nsue López,Equatorial Guinea,3.4,1.84,4.25,7.6,0.85,0.0,0.0,0.0,0.0,0.0,0.016,0.8
Tanitoluwa Oluwaseyi,Canada,5.0,1.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512,1.0
Ivan Perišić,Croatia,12.7,1.73,3.15,29.8,0.0,0.0,1.6,0.051,0.0,3.1,1.504,15.9
Ismaïla Sarr,Senegal,7.55,1.72,1.55,14.3,0.7,0.7,0.0,0.0,0.0,1.7,1.242,7.2
Jamal Musiala,Germany,8.2,1.71,3.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.78,9.9
Christoph Baumgartner,Austria,6.2,1.7,1.55,9.7,0.0,0.0,0.0,0.0,0.0,1.0,0.504,6.5
Denzel Dumfries,Netherlands,10.7,1.62,1.8,8.7,0.0,0.0,0.0,0.0,0.0,1.4,0.977,8.6
Diogo José Teixeira da Silva,Portugal,5.2,1.61,0.55,6.4,0.0,0.0,0.0,0.0,0.0,0.55,0.685,4.7
Baghdad Bounedjah,Algeria,2.55,1.61,2.55,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.7
Phil Foden,England,8.4,1.61,0.7,16.5,0.0,0.0,2.0,0.075,0.0,0.0,0.474,7.4
Lamine Yamal Nasraoui Ebana,Spain,7.0,1.59,1.0,18.0,0.0,0.0,3.0,0.21,0.0,4.0,2.15,18.0
Donyell Malen,Netherlands,6.2,1.58,2.0,7.6,0.0,0.0,0.0,0.0,0.0,1.1,1.285,6.7
Michy Batshuayi Tunga,Belgium,3.3,1.57,1.15,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.031,1.1
Marko Arnautović,Austria,5.65,1.54,1.55,8.4,1.0,1.0,0.0,0.0,0.0,1.0,0.265,3.2
José Salomón Rondón Giménez,Venezuela,4.0,1.53,4.0,19.0,2.0,2.0,0.0,0.0,0.0,1.0,0.399,8.0
Andriy Yarmolenko,Ukraine,5.75,1.53,1.1,9.5,0.0,0.0,0.0,0.0,0.0,1.1,0.313,3.3
Marcus Berg,Sweden,4.45,1.53,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.279,1.4
Raphael Dias Belloli,Brazil,7.5,1.48,1.0,13.6,0.0,0.0,3.7,0.159,1.0,0.0,1.273,9.6
Bruno Miguel Borges Fernandes,Portugal,9.9,1.48,3.4,20.2,1.7,1.7,1.0,0.04,0.0,2.1,2.027,17.6
Mostafa Mohamed Ahmed Abdallah,Egypt,3.4,1.46,3.4,12.7,1.7,0.85,0.85,0.061,0.0,0.0,0.177,2.5
Kevin De Bruyne,Belgium,11.0,1.43,2.0,24.0,0.0,0.0,3.05,0.065,0.0,2.0,3.739,32.2
Xherdan Shaqiri,Switzerland,8.65,1.41,4.8,17.2,1.0,1.0,0.7,0.017,0.0,1.7,1.555,13.8
Ferrán Torres García,Spain,11.1,1.4,3.5,12.2,0.7,0.7,0.0,0.0,0.0,0.55,0.531,3.9
Habibou Mouhamadou Diallo,Senegal,3.4,1.39,1.7,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.8
John Stones,England,17.5,1.37,0.9,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.072,1.7
Jhon Andrés Córdoba Copete,Colombia,6.0,1.37,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295,4.0
Christian Dannemann Eriksen,Denmark,8.45,1.37,1.45,21.3,0.45,0.0,1.9,0.128,0.0,0.45,1.589,27.1
Davinson Sánchez Mina,Colombia,7.8,1.36,1.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.5
Randal Kolo Muani,France,7.1,1.34,2.4,6.5,0.7,0.7,0.0,0.0,0.0,0.0,0.011,1.0
Garry Mendes Rodrigues,Cape Verde Islands,4.25,1.31,0.85,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.167,3.4
Vinícius José Paixão de Oliveira Júnior,Brazil,5.8,1.3,2.7,10.3,0.0,0.0,0.0,0.0,0.0,1.4,0.929,10.6
Lassine Sinayoko,Mali,4.25,1.3,2.55,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.153,2.5
Eden Hazard,Belgium,7.0,1.3,1.35,11.5,0.45,0.45,0.45,0.025,0.0,1.45,0.553,8.6
Jacinto Muondo Dala,Angola,4.25,1.29,3.4,7.6,0.0,0.0,0.0,0.0,0.0,0.85,0.662,8.5
Cody Mathès Gakpo,Netherlands,10.05,1.28,5.1,16.5,0.0,0.0,0.0,0.0,0.0,1.0,2.173,19.0
Gonçalo Matias Ramos,Portugal,3.8,1.27,2.1,5.9,0.0,0.0,0.0,0.0,0.0,0.7,0.274,1.4
Marcus Thuram,France,8.05,1.26,0.55,13.2,0.55,0.55,0.0,0.0,0.0,1.4,0.241,4.3
Jude Bellingham,England,12.15,1.25,3.7,10.5,1.0,1.0,0.0,0.0,0.0,1.7,0.512,8.8
Roman Yaremchuk,Ukraine,5.75,1.25,2.1,12.1,0.0,0.0,0.0,0.0,0.0,0.55,0.182,3.1
Andraž Šporar,Slovenia,4.0,1.25,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,5.0
Muhammed Kerem Aktürkoğlu,Turkey,5.0,1.25,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,3.0
Dan Ndoye,Switzerland,5.0,1.24,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,3.0
Marcus Rashford,England,8.95,1.23,2.55,10.9,1.0,0.45,1.85,0.104,0.7,0.0,0.234,0.9
Rodrygo Silva de Goes,Brazil,7.5,1.23,0.0,14.9,0.7,0.0,3.7,0.16,0.0,0.7,0.897,8.5
Mario Mandžukić,Croatia,2.7,1.22,1.35,5.4,0.0,0.0,0.0,0.0,0.0,0.45,0.251,3.2
Fabián Ruiz Peña,Spain,7.65,1.21,2.0,17.6,0.0,0.0,0.0,0.0,0.0,2.0,1.165,11.0
Martin Braithwaite Christensen,Denmark,6.5,1.19,0.55,11.3,0.0,0.0,0.55,0.034,0.0,0.0,0.285,5.8
Ayoub El Kaabi,Morocco,4.3,1.17,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georginio Wijnaldum,Netherlands,5.2,1.17,1.65,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.249,1.1
Christian Pulisic,United States,5.8,1.17,1.7,13.3,0.0,0.0,0.0,0.0,0.0,2.4,1.198,13.3
Peter Shalulile,Namibia,3.4,1.17,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.8
Lucas Tolentino Coelho de Lima,Brazil,6.8,1.14,1.7,13.8,2.0,1.0,0.0,0.0,0.0,0.7,1.278,7.2
Richarlison de Andrade,Brazil,2.8,1.13,2.1,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.317,3.5
Ademola Lookman,Nigeria,5.95,1.12,2.55,6.8,0.0,0.0,0.85,0.086,0.0,0.85,1.699,11.9
Ángel Fabián Di María Hernández,Argentina,9.85,1.12,1.15,12.7,0.0,0.0,0.0,0.0,0.0,1.7,2.065,20.1
Rasmus Winther Højlund,Denmark,4.0,1.1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,3.0
Meschak Elia,Congo DR,5.95,1.1,0.85,5.9,0.85,0.0,0.0,0.0,0.0,0.85,1.106,5.9
Denis Mihai Drăguş,Romania,4.0,1.1,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.0
Michael Gregoritsch,Austria,5.65,1.1,1.55,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.6
Edinson Roberto Cavani Gómez,Uruguay,3.9,1.09,1.35,9.3,0.0,0.0,0.9,0.034,0.0,0.0,0.31,4.2
Marcel Sabitzer,Austria,6.2,1.09,1.0,17.6,0.0,0.0,1.0,0.043,0.0,0.55,1.185,9.8
Evidence Makgopa,South Africa,5.95,1.08,0.85,11.0,0.85,0.0,0.0,0.0,0.0,0.85,0.533,3.4
Facundo Pellistri Rebollo,Uruguay,8.1,1.08,1.0,3.7,0.0,0.0,0.0,0.0,0.0,1.0,0.586,7.1
İlkay Gündoğan,Germany,9.2,1.07,1.7,12.2,0.7,0.7,0.0,0.0,0.0,1.0,0.323,3.6
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,7.3,1.06,3.4,6.5,2.0,2.0,0.0,0.0,0.0,1.0,0.829,7.5
Sardar Azmoun,Iran,3.45,1.05,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.108,1.6
Ante Budimir,Croatia,4.95,1.04,0.0,5.8,0.0,0.0,0.0,0.0,0.0,1.0,0.418,2.0
Nicolás Hernán Otamendi,Argentina,11.7,1.04,1.0,6.4,1.0,1.0,0.0,0.0,0.0,0.7,0.279,1.4
Diego da Silva Costa,Spain,1.8,1.04,1.35,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.8
Santiago Tomás Giménez,Mexico,3.0,1.03,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,2.0
Heung-Min Son,South Korea,4.15,1.02,0.9,12.6,0.0,0.0,0.45,0.012,0.0,0.7,0.629,7.4
Youssef Msakni,Tunisia,3.95,1.01,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.691,5.3
Harry Maguire,England,9.4,1.0,1.55,14.1,0.55,0.55,0.0,0.0,0.0,1.15,0.439,3.5
Kasper Dolberg,Denmark,6.75,0.99,1.65,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.215,1.8
Luka Modrić,Croatia,13.25,0.99,4.05,16.9,3.5,2.05,0.0,0.0,0.0,1.0,1.423,18.6
Sadio Mané,Senegal,4.75,0.99,2.15,7.3,0.85,0.85,0.45,0.021,0.0,2.55,0.622,7.4
Roland Sallai,Hungary,4.65,0.98,0.0,12.4,0.0,0.0,0.55,0.004,0.0,1.55,1.0,6.2
Piotr Zieliński,Poland,8.8,0.98,0.7,15.8,0.0,0.0,2.0,0.083,0.0,1.55,0.917,15.8
Cristóvão Paciência Mabululo,Angola,4.25,0.98,2.55,11.9,0.85,0.85,0.0,0.0,0.0,0.0,0.028,0.8
Alexis Mac Allister,Argentina,9.2,0.98,1.7,11.9,1.0,1.0,0.0,0.0,0.0,2.7,1.317,10.6
Ambrosini Antonio Cabaça Salvador,Angola,4.25,0.98,0.85,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.8
Thomas Müller,Germany,7.65,0.97,0.0,8.2,0.0,0.0,0.55,0.037,0.0,1.0,1.09,11.5
Morgan Guilavogui,Guinea,4.25,0.97,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.85,0.666,4.2
Gerard Moreno Balaguero,Spain,2.75,0.96,1.1,9.9,1.65,1.1,0.55,0.045,0.0,0.55,0.126,1.7
Karim Benzema,France,2.2,0.96,2.2,6.0,0.55,0.55,0.0,0.0,0.0,0.0,0.146,1.7
Rodrigo Bentancur Colmán,Uruguay,10.35,0.96,4.0,7.5,2.0,2.0,0.0,0.0,0.0,0.45,0.212,3.3
Ante Rebić,Croatia,4.9,0.95,0.45,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.185,1.0
Nicholas Williams Arthuer,Spain,8.8,0.95,2.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.234,12.0
Yussuf Yurary Poulsen,Denmark,8.1,0.94,1.55,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.405,5.3
Barnabás Varga,Hungary,3.0,0.94,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,1.0
Sébastien Haller,Côte d'Ivoire,3.4,0.94,2.55,9.3,0.85,0.85,0.0,0.0,0.0,0.0,0.033,0.8
Ruben Vargas,Switzerland,10.0,0.93,1.55,8.8,1.1,0.55,0.0,0.0,0.0,1.7,1.42,12.3
Mikel Oyarzabal Ugarte,Spain,10.3,0.93,2.1,11.5,0.55,0.55,0.0,0.0,0.0,1.0,0.892,7.3
Manuel Obafemi Akanji,Switzerland,12.35,0.93,1.25,8.5,2.1,0.55,0.0,0.0,0.0,0.0,0.088,2.2
Bukayo Saka,England,12.0,0.92,4.1,14.5,1.55,1.0,0.0,0.0,0.0,0.0,0.688,11.5
Nicolás Alejandro Tagliafico,Argentina,12.0,0.91,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.347,6.2
Enner Remberto Valencia Lastra,Ecuador,5.1,0.9,2.1,10.3,1.7,0.7,1.7,0.061,0.0,0.0,0.306,4.1
Silas Katompa Mvumpa,Congo DR,5.95,0.9,1.7,4.2,0.85,0.85,0.0,0.0,0.0,0.0,0.016,0.8
Bernardo Mota Veiga de Carvalho e Silva,Portugal,11.5,0.9,3.0,10.6,2.0,2.0,0.0,0.0,0.0,0.0,1.004,18.1
Maximiliano Javier Araújo Vilches,Uruguay,6.0,0.9,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.423,6.0
Haris Seferović,Switzerland,6.2,0.89,1.65,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.392,4.0
Gabriel Fernando de Jesus,Brazil,4.35,0.89,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.262,4.2
Adrien Rabiot,France,11.4,0.88,0.7,11.0,0.0,0.0,0.0,0.0,0.0,0.7,1.173,12.0
Ivan Schranz,Slovakia,4.0,0.88,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,3.0
Ray Kendry Páez Andrade,Ecuador,4.0,0.88,1.0,11.0,1.0,1.0,1.0,0.008,0.0,0.0,0.18,2.0
Wahbi Khazri,Tunisia,2.75,0.87,1.6,8.9,0.0,0.0,0.0,0.0,0.0,0.9,0.427,2.7
Wout Weghorst,Netherlands,11.0,0.86,3.65,8.8,0.7,0.7,0.0,0.0,0.0,1.0,0.645,4.3
Pedro González López,Spain,10.1,0.85,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.447,19.0
Andreas Christensen,Denmark,11.2,0.84,1.25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.6
Benjamin Šeško,Slovenia,4.0,0.84,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,2.0
Mohamed Bayo,Guinea,4.25,0.84,2.55,7.6,0.85,0.85,0.0,0.0,0.0,0.0,0.05,0.8
Artem Dovbyk,Ukraine,3.55,0.83,0.55,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.518,6.5
Mathías Olivera Miramontes,Uruguay,7.1,0.83,1.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.237,5.2
Emil Peter Forsberg,Sweden,4.45,0.83,2.65,14.4,0.55,0.55,1.35,0.021,0.0,0.0,0.143,3.2
Giorgi Kochorashvili,Georgia,4.0,0.82,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.207,2.0
Karl Brillant Toko Ekambi,Cameroon,4.65,0.81,0.85,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.365,5.5
Lisandro Martínez,Argentina,8.5,0.81,1.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.871,3.0
Mohammed Kudus,Ghana,3.8,0.81,3.1,13.2,0.0,0.0,0.85,0.019,0.0,0.0,0.032,0.8
Cyle Larin,Canada,7.1,0.81,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.751,6.4
Andrés Mateus Uribe Villa,Colombia,7.35,0.81,0.0,4.4,0.45,0.0,0.0,0.0,0.0,0.0,0.01,1.0
Dušan Vlahović,Serbia,4.4,0.8,0.7,8.1,0.0,0.0,1.0,0.042,0.0,0.0,0.0,0.0
Ciro Immobile,Italy,3.3,0.8,1.1,9.9,0.0,0.0,0.0,0.0,0.0,0.55,0.183,1.7
José Fajardo Nelson,Panama,4.0,0.8,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,2.0
Philippe Coutinho Correia,Brazil,2.25,0.8,0.9,10.3,0.0,0.0,0.0,0.0,0.0,0.9,0.6,5.9
Orkun Kökçü,Turkey,4.55,0.8,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.155,2.5
Romain Saïss,Morocco,7.65,0.8,1.55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,1.7
Merih Demiral,Turkey,5.65,0.8,2.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.067,1.6
Tajon Buchanan,Canada,5.1,0.79,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.7,0.298,3.8
Bruno Guimarães Rodriguez Moura,Brazil,5.4,0.79,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.173,3.0
Mateo Kovačić,Croatia,12.35,0.79,0.0,12.5,0.45,0.0,0.0,0.0,0.0,1.0,1.312,14.3
Hamari Traoré,Mali,4.25,0.78,0.85,2.5,0.0,0.0,0.0,0.0,0.0,0.85,0.418,5.1
Aaron Ramsey,Wales,4.3,0.78,0.55,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.207,2.9
M'Baye Babacar Niang,Senegal,1.35,0.78,0.45,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.129,1.8
Yannick Ferreira Carrasco,Belgium,8.85,0.78,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,1.9
Sávio Moreira de Oliveira,Brazil,4.0,0.77,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,1.0
Ousmane Dembélé,France,12.8,0.77,1.0,16.5,1.0,1.0,0.0,0.0,0.0,1.4,1.922,23.8
Andreas Evald Cornelius,Denmark,5.65,0.77,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.55,0.193,4.1
José Paolo Guerrero Gonzáles,Peru,4.35,0.76,0.45,6.1,0.0,0.0,1.45,0.053,0.0,0.45,0.142,1.9
Mislav Oršić,Croatia,4.75,0.76,1.95,8.1,0.7,0.7,0.0,0.0,0.0,1.95,0.93,4.6
Pape Ibnou Bâ,Mauritania,2.55,0.76,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.8
Francisco Fernandes Conceição,Portugal,4.0,0.75,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.368,6.0
Jean-Charles Castelletto,Cameroon,4.8,0.74,1.55,2.4,0.0,0.0,0.0,0.0,0.0,0.7,0.49,3.2
Kieffer Roberto Francisco Moore,Wales,4.3,0.73,0.55,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.104,2.8
Lovro Majer,Croatia,7.9,0.73,1.4,5.5,0.7,0.7,0.0,0.0,0.0,0.0,0.315,3.7
Roberto Firmino Barbosa de Oliveira,Brazil,1.8,0.72,0.45,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.5
João Félix Sequeira,Portugal,5.35,0.72,0.7,14.4,1.0,0.0,0.0,0.0,0.0,1.4,0.875,6.1
Mert Müldür,Turkey,5.1,0.72,1.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.084,1.6
Tomáš Souček,Czech Republic,5.75,0.71,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638,7.2
Jonathan Osorio,Canada,8.1,0.7,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.141,1.0
Yordan Hernando Osorio Paredes,Venezuela,4.0,0.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
Young-Gwon Kim,South Korea,4.15,0.7,1.15,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.4
Pablo Sarabia García,Spain,3.45,0.69,1.1,5.8,0.7,0.0,0.0,0.0,0.0,0.55,0.99,4.7
Marko Livaja,Croatia,4.2,0.69,0.7,4.9,0.7,0.0,0.0,0.0,0.0,0.7,0.059,1.4
Fakhreddine Ben Youssef,Tunisia,1.35,0.69,0.45,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.069,1.4
Hakim Ziyech,Morocco,8.8,0.69,2.25,17.7,0.7,0.7,2.85,0.077,0.0,1.55,1.488,13.5
Aurélien Djani Tchouaméni,France,9.9,0.68,0.7,16.9,0.7,0.0,0.0,0.0,0.0,0.0,0.718,9.2
Vitor Machado Ferreira,Portugal,6.1,0.68,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.177,4.7
Serge Gnabry,Germany,4.3,0.68,0.7,10.6,0.0,0.0,0.0,0.0,0.0,0.7,0.758,4.8
Antonio Rüdiger,Germany,9.75,0.67,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.483,4.0
Federico Santiago Valverde Dipetta,Uruguay,8.1,0.67,3.0,21.9,2.0,2.0,2.0,0.034,0.0,0.0,1.161,11.8
Salem Mohammed Al Dawsari,Saudi Arabia,3.45,0.66,1.85,8.1,0.7,0.0,0.0,0.0,0.0,0.0,0.28,6.5
Nicolás Iván González,Argentina,5.0,0.66,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,4.0
Julio César Enciso Espínola,Paraguay,3.0,0.66,1.0,14.0,0.0,0.0,2.0,0.051,0.0,0.0,0.242,4.0
Ransford Königsdörffer,Ghana,0.85,0.66,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Gómez García,Germany,1.35,0.66,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.9
Viktor Claesson,Sweden,4.45,0.65,0.55,3.8,0.0,0.0,0.0,0.0,0.0,0.45,0.392,3.2
Percy Tau,South Africa,5.1,0.65,0.85,10.2,1.7,0.85,0.0,0.0,0.0,0.0,0.654,6.8
Luis Fernando Díaz Marulanda,Colombia,6.0,0.65,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.463,9.0
Joakim Mæhle,Denmark,9.4,0.65,1.1,7.9,0.0,0.0,0.0,0.0,0.0,0.55,0.603,6.0
Nikola Vlašić,Croatia,6.4,0.64,1.95,6.5,1.4,1.4,0.0,0.0,0.0,0.0,0.286,1.1
Alexis Alejandro Sánchez Sánchez,Chile,3.0,0.64,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.0
Federico Chiesa,Italy,7.85,0.64,1.1,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.49,5.3
Joshua Kimmich,Germany,10.65,0.64,0.0,13.8,0.0,0.0,0.7,0.037,0.0,2.55,2.949,29.8
Tijjani Reijnders,Netherlands,6.0,0.63,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0
Chancel Mbemba Mangulu,Congo DR,5.95,0.63,1.7,5.9,1.7,0.85,0.0,0.0,0.0,0.0,0.27,2.5
David Strelec,Slovakia,4.0,0.63,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.661,3.0
Ángel Rodrigo Romero Villamayor,Paraguay,2.0,0.63,0.0,3.0,0.0,0.0,1.0,0.073,0.0,0.0,0.132,1.0
Kristjan Asllani,Albania,3.0,0.63,0.0,8.0,0.0,0.0,1.0,0.009,0.0,0.0,0.491,8.0
Toni Kroos,Germany,8.55,0.63,0.45,12.4,0.0,0.0,2.55,0.143,0.0,0.0,1.256,21.4
Mehdi Taremi,Iran,3.45,0.63,1.4,5.6,0.7,0.7,0.0,0.0,0.0,0.7,0.317,4.9
Giovani Lo Celso,Argentina,5.0,0.63,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.199,1.0
Mahmoud Ibrahim Hassan,Egypt,4.75,0.62,0.85,8.7,0.0,0.0,0.0,0.0,0.0,1.7,0.896,4.3
José Paulo Bezzera Maciel Júnior,Brazil,2.25,0.62,0.45,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.141,1.4
Tarik Tissoudali,Morocco,0.85,0.62,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leon Goretzka,Germany,4.2,0.62,0.55,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.089,1.7
Jovane Eduardo Borges Cabral,Cape Verde Islands,3.4,0.62,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.081,1.7
