player,team,apps,npxg,goals,shots,pen_sh,pen_g,fk_sh,fk_xg,fk_g,assists,xa,key_passes
Tandi Mwape,Zambia,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.8
Kelvin Kapumbu,Zambia,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larry Bwalya,Zambia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankie Musonda,Zambia,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tresford Lawrence Mulenga,Zambia,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronwen Williams,South Africa,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Nyambe,Namibia,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wendell Rudath,Namibia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gomolemo Grant Kekana,South Africa,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joslin Kamatuka,Namibia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mothobi Mvala,South Africa,5.1,0.0,1.7,1.7,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0
Thabang Amod Monare,South Africa,3.4,0.0,0.85,0.8,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Aly Camara,Guinea,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amadou Diawara,Guinea,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,1.7
Karim Cissé,Guinea,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saidou Sow,Guinea,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim Kone,Guinea,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Conte,Guinea,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.8
Seydouba Cisse,Guinea,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamine Ba,Mauritania,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahima Keita,Mauritania,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.8
Mohamed Amine Tougai,Algeria,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Louis Mandréa,Algeria,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Babacar Niasse,Mauritania,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Hacen Houeibib,Mauritania,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,1.7
Ramiz Larbi Zerrouki,Algeria,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.8
Falaye Sacko,Mali,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,3.4
Bechir Ben Said,Tunisia,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seifeddine Jaziri,Tunisia,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diadie Samassekou,Mali,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.114,1.7
Bassem Srarfi,Tunisia,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mory Konaté,Guinea,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oumar Gonzalez,Cameroon,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.8
José Kanté Martínez,Guinea,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.8
Joaquim Marcos Cunga Balanga,Angola,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adilson Cipriano da Cruz,Angola,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Souleymane Doukara,Mauritania,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.8
Eddie Marcos Melo Afonso,Angola,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.8
Manuel Keliano,Angola,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.7
Aishi Manula,Tanzania,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakari Nondo Mwamnyeto,Tanzania,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haji Mnoga,Tanzania,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.8
Mudathiri Yahya,Tanzania,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Chibi,Morocco,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.8
Himid Mao Mkami,Tanzania,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,2.5
Tarryn Allarakhia,Tanzania,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles M'Mombwa,Tanzania,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ismahila Ouédraogo,Burkina Faso,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adamo Nagalo,Burkina Faso,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dramane Salou,Burkina Faso,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yacouba Nasser Djiga,Burkina Faso,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kouakou Herve Koffi,Burkina Faso,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steeve Yago,Burkina Faso,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.8
Ramy Bensebaini,Algeria,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felicio Mendes Joao Milson,Angola,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boureima Hassane Bandé,Burkina Faso,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Lourenço Pinto de Almeida Paz,Angola,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,1.7
Sacha Jordan Bansé,Burkina Faso,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augusto de Jesus Corte Real Carneiro,Angola,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,1.7
Terrence Mashego,South Africa,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.8
Erickson Patrick Correia Andrade,Cape Verde Islands,1.7,0.0,0.0,0.8,0.85,0.0,0.0,0.0,0.0,0.0,0.026,1.7
Laros Duarte,Cape Verde Islands,1.7,0.0,0.0,0.8,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago Eneme Bocari,Equatorial Guinea,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Lázaro Owono Ngua Akeng,Equatorial Guinea,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.129,0.8
Esteban Orozco Fernández,Equatorial Guinea,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Balboa Bandeira,Equatorial Guinea,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Akapo Martínez,Equatorial Guinea,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.174,1.7
Yahia Fofana,Côte d'Ivoire,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manconi Soriano Mané,Guinea-Bissau,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin José Anieboh Pallaruelo,Equatorial Guinea,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Manuel Cardoso Mané,Guinea-Bissau,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.8
Ouparine Djoco,Guinea-Bissau,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moreto Moro Cassamã,Guinea-Bissau,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,1.7
Noé Ela Mangue,Equatorial Guinea,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
João José Jone Bonde,Mozambique,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Ofori Antwi,Ghana,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivane Carminio Francisco Urrubal,Mozambique,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terem Igobor Moffi,Nigeria,1.7,0.0,0.85,0.8,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Joris Kayembe Ditu,Congo DR,1.7,0.0,0.85,0.8,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Dimitry Bertaud,Congo DR,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omenuke Mfulu,Congo DR,1.7,0.0,0.85,0.8,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Brian Jephte Bayeye,Congo DR,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.8
Oswin Reagan Appollis,South Africa,0.85,0.0,0.85,0.8,0.85,0.85,0.0,0.0,0.0,0.0,0.021,0.8
Nkosinathi Sibisi,South Africa,1.7,0.0,0.85,0.8,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Bamba,Côte d'Ivoire,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.8
Moussa Niakhate,Senegal,1.7,0.0,0.0,0.8,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mamadou Fofana,Mali,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Touré,Guinea,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.8
Signori Dominique Nymi António,Angola,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uetuuru Kambato,Namibia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ananias Gebhardt,Namibia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yassin Cheikh El Welly,Mauritania,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francis Odinaka Uzoho,Nigeria,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed El Sayed Mohamed El Shenawy Gomaa,Egypt,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elisha Owusu,Ghana,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amade Momade,Mozambique,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmed Hassan Mahgoub,Egypt,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,Morocco,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lusajo Mwaikenda,Tanzania,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.8
Mzamiru Yassin,Tanzania,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edilson Alberto Monteiro Sanches Borges,Cape Verde Islands,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Tavares dos Santos,Cape Verde Islands,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahmoud Abdul Monem Abdelhamid Soliman,Egypt,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benedict Chepeshi,Zambia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noah Sonko-Sundberg,Gambia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamza Barry,Gambia,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.8
Saidy Janko,Gambia,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mamady Alex Bangré,Burkina Faso,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.8
Oumar Ngom,Mauritania,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
