pitcher,team,ra9,factor,ip
Juan Mejia,Colorado Rockies,5.3,1.232,71
Jake Irvin,Washington Nationals,5.31,1.234,234
Jack Perkins,Athletics,5.32,1.237,46
Austin Gomber,Colorado Rockies,5.33,1.238,100
Roddery Muñoz,Miami Marlins,5.34,1.241,33
Matt Waldron,San Diego Padres,5.36,1.245,82
Connor Prielipp,Minnesota Twins,5.37,1.247,55
Carlos Carrasco,Cleveland Guardians,5.43,1.262,68
Bobby Miller,Los Angeles Dodgers,5.45,1.266,22
Max Scherzer,Texas Rangers,5.46,1.268,90
Ryan Weiss,Houston Astros,5.51,1.281,26
Angel Chivilli,Colorado Rockies,5.51,1.28,35
Mitchell Parker,Washington Nationals,5.52,1.283,196
Chris Paddack,Minnesota Twins,5.54,1.286,183
Jordan Romano,Philadelphia Phillies,5.56,1.292,25
Taijuan Walker,Philadelphia Phillies,5.61,1.304,129
Andrew Painter,Philadelphia Phillies,5.74,1.333,65
Tanner Gordon,Colorado Rockies,5.76,1.338,80
Jack Kochanowicz,Los Angeles Angels,5.86,1.362,157
Zach Agnos,Colorado Rockies,5.88,1.366,48
Lance McCullers Jr.,Houston Astros,5.97,1.388,72
Kyle Freeland,Colorado Rockies,5.99,1.393,215
Germán Márquez,Colorado Rockies,6.08,1.412,105
Bradley Blalock,Colorado Rockies,6.19,1.439,35
Justin Lawrence,Colorado Rockies,6.57,1.526,52
