fighter,date,event,opponent,result,method,round,decision_type,weightclass,score_margin,division_code
Rafael Natal,2013-09-04,UFC Fight Night: Teixeira vs Bader,Tor Troeng,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Glover Teixeira,2013-09-04,UFC Fight Night: Teixeira vs Bader,Ryan Bader,W,KO/TKO,1,,Light Heavyweight Bout,,mw
Alexander Gustafsson,2013-09-21,,Jon Jones,L,Decision,5,Unanimous,,,lhw
Wilson Reis,2013-09-21,UFC 165: Jones vs Gustafsson,Ivan Menjivar,W,Decision - Unanimous,3,Unanimous,,,flw
Stephen Thompson,2013-09-21,UFC 165: Jones vs Gustafsson,Chris Clements,W,KO/TKO,2,,Welterweight Bout,,mw
Jon Jones,2013-09-21,,Alexander Gustafsson,W,Decision,5,Unanimous,,,lhw
Demian Maia,2013-10-09,UFC Fight Night: Maia vs Shields,Jake Shields,L,Decision - Split,5,Split,Welterweight Bout,,ww
Igor Araujo,2013-10-09,UFC Fight Night: Maia vs Shields,Ildemar Alcantara,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Kyoji Horiguchi,2013-10-19,UFC 166: Velasquez vs Dos Santos 3,Dustin Pague,W,KO/TKO,2,,,,flw
Daniel Cormier,2013-10-19,,Roy Nelson,W,Decision,3,Unanimous,,,lhw
Andre Fili,2013-10-19,UFC 166: Velasquez vs Dos Santos 3,Jeremy Larsen,W,KO/TKO,2,,,,bw
Dustin Pague,2013-10-19,UFC 166: Velasquez vs Dos Santos 3,Kyoji Horiguchi,L,KO/TKO,2,,,,flw
Shawn Jordan,2013-10-19,UFC 166: Velasquez vs Dos Santos 3,Gabriel Gonzaga,L,KO/TKO,1,,Heavyweight Bout,,mw
John Dodson,2013-10-19,UFC 166: Velasquez vs Dos Santos 3,Darrell Montague,W,KO/TKO,1,,,,flw
Darrell Montague,2013-10-19,UFC 166: Velasquez vs Dos Santos 3,John Dodson,L,KO/TKO,1,,,,flw
Jéssica Andrade,2013-10-26,UFC Fight Night: Machida vs Munoz,Rosi Sexton,W,DEC,3,Unanimous,,,wsw
Brad Scott,2013-10-26,UFC Fight Night: Machida vs Munoz,Michael Kuiper,W,Submission,1,,Middleweight Bout,,mw
Jimi Manuwa,2013-10-26,,Ryan Jimmo,W,KO/TKO,2,,,,lhw
Luke Barnatt,2013-10-26,UFC Fight Night: Machida vs Munoz,Andrew Craig,W,Submission,2,,Middleweight Bout,,mw
Neil Magny,2013-11-06,UFC Fight Night: Fight for the Troops 3,Seth Baczynski,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Jorge Masvidal,2013-11-06,UFC Fight Night: Fight for the Troops 3,Rustam Khabilov,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Seth Baczynski,2013-11-06,UFC Fight Night: Fight for the Troops 3,Neil Magny,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Amanda Nunes,2013-11-06,UFC Fight Night: Fight for the Troops 3,Germaine de Randamie,W,KO/TKO,1,,,,wbw
Yoel Romero,2013-11-06,UFC Fight Night: Fight for the Troops 3,Ronny Markes,W,KO/TKO,3,,Middleweight Bout,,mw
Rafael Natal,2013-11-06,UFC Fight Night: Fight for the Troops 3,Tim Kennedy,L,KO/TKO,1,,Middleweight Bout,,mw
Derek Brunson,2013-11-06,UFC Fight Night: Fight for the Troops 3,Brian Houston,W,Submission,1,,Middleweight Bout,,mw
Colton Smith,2013-11-06,UFC Fight Night: Fight for the Troops 3,Michael Chiesa,L,Submission,2,,Lightweight Bout,,mw
King Green,2013-11-06,UFC Fight Night: Fight for the Troops 3,James Krause,W,KO/TKO,1,,Lightweight Bout,,ww
Michael Chiesa,2013-11-06,UFC Fight Night: Fight for the Troops 3,Colton Smith,W,Submission,2,,Lightweight Bout,,ww
Adriano Martins,2013-11-09,UFC Fight Night: Belfort vs Henderson 2,Daron Cruickshank,W,Submission,2,,Lightweight Bout,,ww
