fighter,date,event,opponent,result,method,round,decision_type,weightclass,score_margin,division_code
Fabio Cherant,2021-03-27,,Alonzo Menifield,L,Submission,1,,,,lhw
Alonzo Menifield,2021-03-27,,Fabio Cherant,W,Submission,1,,,,lhw
Miranda Maverick,2021-03-27,,Gillian Robertson,W,Decision - Unanimous,3,Decision,,,wflw
Omar Morales,2021-03-27,UFC 260: Miocic vs. Ngannou,Shane Young,W,Decision - Unanimous,3,Unanimous,Featherweight Bout,,ww
Marc-Andre Barriault,2021-03-27,UFC 260: Miocic vs. Ngannou,Abu Azaitar,W,KO/TKO,3,,Middleweight Bout,,mw
Vicente Luque,2021-03-27,UFC 260: Miocic vs. Ngannou,Tyron Woodley,W,Submission,1,,Welterweight Bout,,ww
Mike Perry,2021-04-10,UFC Fight Night: Vettori vs. Holland,Daniel Rodriguez,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Arnold Allen,2021-04-10,,Sodiq Yusuff,W,Decision - Unanimous,3,Unanimous,,,fw
Kevin Holland,2021-04-10,UFC Fight Night: Vettori vs. Holland,Marvin Vettori,L,Decision - Unanimous,5,Unanimous,Middleweight Bout,,mw
Daniel Rodriguez,2021-04-10,UFC Fight Night: Vettori vs. Holland,Mike Perry,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Marvin Vettori,2021-04-10,UFC Fight Night: Vettori vs. Holland,Kevin Holland,W,Decision - Unanimous,5,Unanimous,Middleweight Bout,,mw
Impa Kasanganay,2021-04-10,UFC Fight Night: Vettori vs. Holland,Sasha Palatnikov,W,Submission,2,,Welterweight Bout,,ww
William Knight,2021-04-10,,Da Woon Jung,L,Decision,3,Unanimous,,,lhw
Mackenzie Dern,2021-04-10,UFC Fight Night: Vettori vs. Holland,Nina Nunes,W,SUB,1,,,,wsw
Sam Alvey,2021-04-10,UFC Fight Night: Vettori vs. Holland,Julian Marquez,L,Submission,2,,Middleweight Bout,,mw
Mateusz Gamrot,2021-04-10,UFC Fight Night: Vettori vs. Holland,Scott Holtzman,W,KO/TKO,2,,,,lw
Julian Marquez,2021-04-10,UFC Fight Night: Vettori vs. Holland,Sam Alvey,W,Submission,2,,Middleweight Bout,,mw
Da Woon Jung,2021-04-10,,William Knight,W,Decision,3,Unanimous,,,lhw
Robert Whittaker,2021-04-17,UFC Fight Night: Whittaker vs. Gastelum,Kelvin Gastelum,W,Decision - Unanimous,5,Unanimous,Middleweight Bout,,mw
Loopy Godinez,2021-04-17,UFC Fight Night: Whittaker vs. Gastelum,Jessica Penne,L,DEC,3,Split,,,wsw
Gerald Meerschaert,2021-04-17,UFC Fight Night: Whittaker vs. Gastelum,Bartosz Fabinski,W,Submission,1,,Middleweight Bout,,mw
Tracy Cortez,2021-04-17,,Justine Kish,W,Decision - Split,3,Decision,,,wflw
Abdul Razak Alhassan,2021-04-17,UFC Fight Night: Whittaker vs. Gastelum,Jacob Malkoun,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Kelvin Gastelum,2021-04-17,UFC Fight Night: Whittaker vs. Gastelum,Robert Whittaker,L,Decision - Unanimous,5,Unanimous,Middleweight Bout,,ww
Jacob Malkoun,2021-04-17,UFC Fight Night: Whittaker vs. Gastelum,Abdul Razak Alhassan,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Jimmy Crute,2021-04-24,,Anthony Smith,L,KO/TKO,1,,,,lhw
Jorge Masvidal,2021-04-24,UFC 261: Usman vs. Masvidal 2,Kamaru Usman,L,KO/TKO,2,,UFC Welterweight Title Bout,,ww
Dwight Grant,2021-04-24,UFC 261: Usman vs. Masvidal 2,Stefan Sekulic,W,Decision - Split,3,Split,Welterweight Bout,,ww
Valentina Shevchenko,2021-04-24,UFC 261: Usman vs. Masvidal 2,Jessica Andrade,W,KO/TKO,2,,,,wsw
Jéssica Andrade,2021-04-24,UFC 261: Usman vs. Masvidal 2,Valentina Shevchenko,L,KO/TKO,2,,,,wsw
Chris Weidman,2021-04-24,,Uriah Hall,L,KO/TKO,1,,,,lhw
Kamaru Usman,2021-04-24,UFC 261: Usman vs. Masvidal 2,Jorge Masvidal,W,KO/TKO,2,,UFC Welterweight Title Bout,,ww
Karl Roberson,2021-04-24,UFC 261: Usman vs. Masvidal 2,Brendan Allen,L,Submission,1,,Middleweight Bout,,mw
Zhang Weili,2021-04-24,UFC 261: Usman vs. Masvidal 2,Rose Namajunas,L,KO/TKO,1,,,,wsw
Rose Namajunas,2021-04-24,UFC 261: Usman vs. Masvidal 2,Zhang Weili,W,KO/TKO,1,,,,wsw
Randy Brown,2021-04-24,UFC 261: Usman vs. Masvidal 2,Alex Oliveira,W,Submission,1,,Welterweight Bout,,ww
Aoriqileng,2021-04-24,UFC 261: Usman vs. Masvidal 2,Jeff Molina,L,Decision,3,Unanimous,,,bw
Anthony Smith,2021-04-24,UFC 261: Usman vs. Masvidal 2,Jimmy Crute,W,TKO - Doctor's Stoppage,1,,Light Heavyweight Bout,,mw
Brendan Allen,2021-04-24,UFC 261: Usman vs. Masvidal 2,Karl Roberson,W,Submission,1,,Middleweight Bout,,mw
Uriah Hall,2021-04-24,UFC 261: Usman vs. Masvidal 2,Chris Weidman,W,KO/TKO,1,,Middleweight Bout,,mw
Merab Dvalishvili,2021-05-01,UFC Fight Night: Reyes vs. Prochazka,Cody Stamann,W,Decision,3,Unanimous,,,bw
Dustin Jacoby,2021-05-01,,Ion Cutelaba,D,Decision,3,Split,,,lhw
Sean Strickland,2021-05-01,UFC Fight Night: Reyes vs. Prochazka,Krzysztof Jotko,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Krzysztof Jotko,2021-05-01,UFC Fight Night: Reyes vs. Prochazka,Sean Strickland,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Luana Pinheiro,2021-05-01,UFC Fight Night: Reyes vs. Prochazka,Randa Markos,W,OTHER,1,,,,wsw
Luana Carolina,2021-05-01,UFC Fight Night: Reyes vs. Prochazka,Poliana Botelho,W,DEC,3,Split,,,wbw
Ion Cutelaba,2021-05-01,UFC Fight Night: Reyes vs. Prochazka,Dustin Jacoby,D,Decision - Split,3,Split,Light Heavyweight Bout,,mw
Jiří Procházka,2021-05-01,,Dominick Reyes,W,KO/TKO,2,,,,lhw
Andreas Michailidis,2021-05-01,,KB Bhullar,W,Decision,3,Unanimous,,,lhw
Dominick Reyes,2021-05-01,UFC Fight Night: Reyes vs. Prochazka,Jiri Prochazka,L,KO/TKO,2,,Light Heavyweight Bout,,mw
Loma Lookboonmee,2021-05-01,UFC Fight Night: Reyes vs. Prochazka,Sam Hughes,W,DEC,3,Unanimous,,,wsw
Geoff Neal,2021-05-08,UFC Fight Night: Rodriguez vs. Waterson,Neil Magny,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Alex Morono,2021-05-08,UFC Fight Night: Rodriguez vs. Waterson,Donald Cerrone,W,KO/TKO,1,,Welterweight Bout,,ww
Donald Cerrone,2021-05-08,UFC Fight Night: Rodriguez vs. Waterson,Alex Morono,L,KO/TKO,1,,Welterweight Bout,,ww
Tafon Nchukwi,2021-05-08,,JunYong Park,L,Decision,3,Majority,,,lhw
JunYong Park,2021-05-08,UFC Fight Night: Rodriguez vs. Waterson,Tafon Nchukwi,W,Decision - Majority,3,Majority,Middleweight Bout,,mw
Christian Aguilera,2021-05-08,UFC Fight Night: Rodriguez vs. Waterson,Carlston Harris,L,Submission,1,,Welterweight Bout,,ww
Neil Magny,2021-05-08,UFC Fight Night: Rodriguez vs. Waterson,Geoff Neal,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Marcos Rogerio de Lima,2021-05-08,,Maurice Greene,W,Decision,3,Unanimous,,,lhw
Phil Hawes,2021-05-08,UFC Fight Night: Rodriguez vs. Waterson,Kyle Daukaus,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Marina Rodriguez,2021-05-08,UFC Fight Night: Rodriguez vs. Waterson,Michelle Waterson-Gomez,W,DEC,5,Unanimous,,,wsw
Kyle Daukaus,2021-05-08,UFC Fight Night: Rodriguez vs. Waterson,Phil Hawes,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Beneil Dariush,2021-05-15,UFC 262: Oliveira vs. Chandler,Tony Ferguson,W,Decision - Unanimous,3,Unanimous,,,lw
Jamie Pickett,2021-05-15,UFC 262: Oliveira vs. Chandler,Jordan Wright,L,KO/TKO,1,,Middleweight Bout,,mw
Jacare Souza,2021-05-15,UFC 262: Oliveira vs. Chandler,Andre Muniz,L,Submission,1,,Middleweight Bout,,mw
Priscila Cachoeira,2021-05-15,UFC 262: Oliveira vs. Chandler,Gina Mazany,W,KO/TKO,2,,,,wbw
Andre Muniz,2021-05-15,UFC 262: Oliveira vs. Chandler,Jacare Souza,W,Submission,1,,Middleweight Bout,,mw
Matt Schnell,2021-05-15,UFC 262: Oliveira vs. Chandler,Rogerio Bontorin,NC,Overturned,3,,,,flw
Charles Oliveira,2021-05-15,UFC 262: Oliveira vs. Chandler,Michael Chandler,W,KO/TKO,2,,UFC Lightweight Title Bout,,ww
Jordan Wright,2021-05-15,UFC 262: Oliveira vs. Chandler,Jamie Pickett,W,KO/TKO,1,,Middleweight Bout,,ww
Rogerio Bontorin,2021-05-15,UFC 262: Oliveira vs. Chandler,Matt Schnell,NC,Overturned,3,,,,flw
Claudio Silva,2021-05-22,UFC Fight Night: Font vs. Garbrandt,Court McGee,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Rob Font,2021-05-22,UFC Fight Night: Font vs. Garbrandt,Cody Garbrandt,W,Decision,5,Unanimous,,,bw
Cody Garbrandt,2021-05-22,UFC Fight Night: Font vs. Garbrandt,Rob Font,L,Decision,5,Unanimous,,,bw
Jack Hermansson,2021-05-22,UFC Fight Night: Font vs. Garbrandt,Edmen Shahbazyan,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Court McGee,2021-05-22,UFC Fight Night: Font vs. Garbrandt,Claudio Silva,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
David Dvorak,2021-05-22,UFC Fight Night: Font vs. Garbrandt,Juancamilo Ronderos,W,Submission,1,,,,flw
Norma Dumont,2021-05-22,UFC Fight Night: Font vs. Garbrandt,Felicia Spencer,W,DEC,3,Split,,,wbw
Edmen Shahbazyan,2021-05-22,UFC Fight Night: Font vs. Garbrandt,Jack Hermansson,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Yan Xiaonan,2021-05-22,UFC Fight Night: Font vs. Garbrandt,Carla Esparza,L,KO/TKO,2,,,,wsw
Bruno Silva,2021-05-22,UFC Fight Night: Font vs. Garbrandt,Victor Rodriguez,W,KO/TKO,1,,Flyweight Bout,,mw
Gregory Rodrigues,2021-06-05,UFC Fight Night: Rozenstruik vs. Sakai,Dusko Todorovic,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Marcin Tybura,2021-06-05,UFC Fight Night: Rozenstruik vs. Sakai,Walt Harris,W,KO/TKO,1,,Heavyweight Bout,,hw
Walt Harris,2021-06-05,,Marcin Tybura,L,KO/TKO,1,,,,lhw
Santiago Ponzinibbio,2021-06-05,UFC Fight Night: Rozenstruik vs. Sakai,Miguel Baeza,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Manon Fiorot,2021-06-05,,Tabatha Ricci,W,KO/TKO,2,,,,wflw
Muslim Salikhov,2021-06-05,UFC Fight Night: Rozenstruik vs. Sakai,Francisco Trinaldo,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Laureano Staropoli,2021-06-05,UFC Fight Night: Rozenstruik vs. Sakai,Roman Dolidze,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Ilir Latifi,2021-06-05,,Tanner Boser,W,Decision,3,Split,,,lhw
Tabatha Ricci,2021-06-05,UFC Fight Night: Rozenstruik vs. Sakai,Manon Fiorot,L,KO/TKO,2,,,,wsw
Roman Dolidze,2021-06-05,UFC Fight Night: Rozenstruik vs. Sakai,Laureano Staropoli,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Youssef Zalal,2021-06-05,,Sean Woodson,L,Decision - Split,3,Split,,,fw
Dusko Todorovic,2021-06-05,UFC Fight Night: Rozenstruik vs. Sakai,Gregory Rodrigues,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Nate Diaz,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Leon Edwards,L,Decision - Unanimous,5,Unanimous,Welterweight Bout,,ww
Paul Craig,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Jamahal Hill,W,KO/TKO,1,,Light Heavyweight Bout,,mw
Belal Muhammad,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Demian Maia,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Demian Maia,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Belal Muhammad,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Brandon Moreno,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Deiveson Figueiredo,W,Submission,3,,,,flw
Lauren Murphy,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Joanne Wood,W,DEC,3,Split,,,wbw
Jamahal Hill,2021-06-12,,Paul Craig,L,KO/TKO,1,,,,lhw
Eryk Anders,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Darren Stewart,W,Decision - Unanimous,3,Unanimous,Light Heavyweight Bout,,mw
Israel Adesanya,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Marvin Vettori,W,Decision - Unanimous,5,Unanimous,UFC Middleweight Title Bout,,mw
Deiveson Figueiredo,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Brandon Moreno,L,Submission,3,,,,flw
Marvin Vettori,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Israel Adesanya,L,Decision - Unanimous,5,Unanimous,UFC Middleweight Title Bout,,mw
Leon Edwards,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Nate Diaz,W,Decision - Unanimous,5,Unanimous,Welterweight Bout,,ww
Movsar Evloev,2021-06-12,,Hakeem Dawodu,W,Decision - Unanimous,3,Unanimous,,,fw
Drew Dober,2021-06-12,UFC 263: Adesanya vs. Vettori 2,Brad Riddell,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Virna Jandiroba,2021-06-19,UFC Fight Night: Jung vs. Ige,Kanako Murata,W,KO/TKO,2,,,,wsw
Nicolae Negumereanu,2021-06-19,,Aleksa Camur,W,Decision,3,Split,,,lhw
Matthew Semelsberger,2021-06-19,UFC Fight Night: Jung vs. Ige,Khaos Williams,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Marlon Vera,2021-06-19,UFC Fight Night: Jung vs. Ige,Davey Grant,W,Decision,3,Unanimous,,,bw
Serghei Spivac,2021-06-19,UFC Fight Night: Jung vs. Ige,Aleksei Oleinik,W,Decision - Unanimous,3,Unanimous,Heavyweight Bout,,hw
Casey O'Neill,2021-06-19,,Lara Procopio,W,Submission,3,,,,wflw
Dhiego Lima,2021-06-19,UFC Fight Night: Jung vs. Ige,Matt Brown,L,KO/TKO,2,,Welterweight Bout,,ww
Khaos Williams,2021-06-19,UFC Fight Night: Jung vs. Ige,Matthew Semelsberger,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Bruno Silva,2021-06-19,UFC Fight Night: Jung vs. Ige,Wellington Turman,W,KO/TKO,1,,Middleweight Bout,,mw
Warlley Alves,2021-06-26,UFC Fight Night: Gane vs. Volkov,Jeremiah Wells,L,KO/TKO,2,,Welterweight Bout,,ww
Tim Means,2021-06-26,UFC Fight Night: Gane vs. Volkov,Nicolas Dalby,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Andre Fili,2021-06-26,UFC Fight Night: Gane vs. Volkov,Daniel Pineda,NC,CNC,2,,,,bw
Julia Avila,2021-06-26,UFC Fight Night: Gane vs. Volkov,Julija Stoliarenko,W,SUB,3,,,,wbw
Alexander Volkov,2021-06-26,UFC Fight Night: Gane vs. Volkov,Ciryl Gane,L,Decision - Unanimous,5,Unanimous,Heavyweight Bout,,hw
Raoni Barcelos,2021-06-26,UFC Fight Night: Gane vs. Volkov,Timur Valiev,L,Decision,3,Majority,,,bw
Marcin Prachnio,2021-06-26,,Ike Villanueva,W,KO/TKO,2,,,,lhw
Nicolas Dalby,2021-06-26,UFC Fight Night: Gane vs. Volkov,Tim Means,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Ciryl Gane,2021-06-26,UFC Fight Night: Gane vs. Volkov,Alexander Volkov,W,Decision - Unanimous,5,Unanimous,Heavyweight Bout,,hw
Ovince Saint Preux,2021-06-26,,Tanner Boser,L,KO/TKO,2,,,,lhw
Kennedy Nzechukwu,2021-06-26,,Danilo Marques,W,KO/TKO,3,,,,lhw
Renato Moicano,2021-06-26,UFC Fight Night: Gane vs. Volkov,Jai Herbert,W,Submission,2,,Lightweight Bout,,ww
Shavkat Rakhmonov,2021-06-26,UFC Fight Night: Gane vs. Volkov,Michel Prazeres,W,Submission,2,,Welterweight Bout,,ww
Trevin Giles,2021-07-10,UFC 264: Poirier vs. McGregor 3,Dricus Du Plessis,L,KO/TKO,2,,Middleweight Bout,,mw
Dustin Poirier,2021-07-10,UFC 264: Poirier vs. McGregor 3,Conor McGregor,W,TKO - Doctor's Stoppage,1,,Lightweight Bout,,ww
Max Griffin,2021-07-10,UFC 264: Poirier vs. McGregor 3,Carlos Condit,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Yana Santos,2021-07-10,UFC 264: Poirier vs. McGregor 3,Irene Aldana,L,KO/TKO,1,,,,wbw
Brad Tavares,2021-07-10,UFC 264: Poirier vs. McGregor 3,Omari Akhmedov,W,Decision - Split,3,Split,Middleweight Bout,,mw
Sean O'Malley,2021-07-10,UFC 264: Poirier vs. McGregor 3,Kris Moutinho,W,KO/TKO,3,,,,bw
Gilbert Burns,2021-07-10,UFC 264: Poirier vs. McGregor 3,Stephen Thompson,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Irene Aldana,2021-07-10,UFC 264: Poirier vs. McGregor 3,Yana Santos,W,KO/TKO,1,,,,wbw
Ilia Topuria,2021-07-10,UFC 264: Poirier vs. McGregor 3,Ryan Hall,W,KO/TKO,1,,,,lw
Michel Pereira,2021-07-10,UFC 264: Poirier vs. McGregor 3,Niko Price,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Zhalgas Zhumagulov,2021-07-10,UFC 264: Poirier vs. McGregor 3,Jerome Rivera,W,Submission,1,,,,flw
Stephen Thompson,2021-07-10,UFC 264: Poirier vs. McGregor 3,Gilbert Burns,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Dricus Du Plessis,2021-07-10,UFC 264: Poirier vs. McGregor 3,Trevin Giles,W,KO/TKO,2,,Middleweight Bout,,mw
Miesha Tate,2021-07-17,UFC Fight Night: Makhachev vs. Moises,Marion Reneau,W,KO/TKO,3,,,,wbw
Amanda Lemos,2021-07-17,UFC Fight Night: Makhachev vs. Moises,Montserrat Conejo Ruiz,W,KO/TKO,1,,,,wsw
Islam Makhachev,2021-07-17,UFC Fight Night: Makhachev vs. Moises,Thiago Moises,W,Submission,4,,Lightweight Bout,,ww
Daniel Rodriguez,2021-07-17,UFC Fight Night: Makhachev vs. Moises,Preston Parsons,W,KO/TKO,1,,Welterweight Bout,,ww
Mateusz Gamrot,2021-07-17,UFC Fight Night: Makhachev vs. Moises,Jeremy Stephens,W,Submission,1,,,,lw
Thiago Moises,2021-07-17,UFC Fight Night: Makhachev vs. Moises,Islam Makhachev,L,Submission,4,,Lightweight Bout,,ww
Rodolfo Vieira,2021-07-17,UFC Fight Night: Makhachev vs. Moises,Dustin Stoltzfus,W,Submission,3,,Middleweight Bout,,mw
Francisco Figueiredo,2021-07-17,UFC Fight Night: Makhachev vs. Moises,Malcolm Gordon,L,Decision - Unanimous,3,Unanimous,,,flw
Malcolm Gordon,2021-07-17,UFC Fight Night: Makhachev vs. Moises,Francisco Figueiredo,W,Decision - Unanimous,3,Unanimous,,,flw
Preston Parsons,2021-07-17,UFC Fight Night: Makhachev vs. Moises,Daniel Rodriguez,L,KO/TKO,1,,Welterweight Bout,,ww
Kyler Phillips,2021-07-24,UFC Fight Night: Sandhagen vs. Dillashaw,Raulian Paiva,L,Decision,3,Majority,,,bw
Maycee Barber,2021-07-24,,Miranda Maverick,W,Decision - Split,3,Decision,,,wflw
Miranda Maverick,2021-07-24,,Maycee Barber,L,Decision - Split,3,Decision,,,wflw
Ian Heinisch,2021-07-24,UFC Fight Night: Sandhagen vs. Dillashaw,Nassourdine Imavov,L,KO/TKO,2,,Middleweight Bout,,mw
Brendan Allen,2021-07-24,UFC Fight Night: Sandhagen vs. Dillashaw,Punahele Soriano,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Punahele Soriano,2021-07-24,UFC Fight Night: Sandhagen vs. Dillashaw,Brendan Allen,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Nassourdine Imavov,2021-07-24,UFC Fight Night: Sandhagen vs. Dillashaw,Ian Heinisch,W,KO/TKO,2,,Middleweight Bout,,mw
Mickey Gall,2021-07-24,UFC Fight Night: Sandhagen vs. Dillashaw,Jordan Williams,W,Submission,1,,Welterweight Bout,,ww
Elise Reed,2021-07-24,UFC Fight Night: Sandhagen vs. Dillashaw,Sijara Eubanks,L,KO/TKO,1,,,,wsw
Jordan Williams,2021-07-24,UFC Fight Night: Sandhagen vs. Dillashaw,Mickey Gall,L,Submission,1,,Welterweight Bout,,mw
Cory Sandhagen,2021-07-24,UFC Fight Night: Sandhagen vs. Dillashaw,TJ Dillashaw,L,Decision,5,Split,,,bw
Hannah Goldy,2021-07-24,UFC Fight Night: Sandhagen vs. Dillashaw,Diana Belbita,L,DEC,3,Unanimous,,,wsw
Ryan Benoit,2021-07-31,UFC Fight Night: Hall vs. Strickland,Zarrukh Adashev,L,Decision - Unanimous,3,Unanimous,,,flw
Sean Strickland,2021-07-31,UFC Fight Night: Hall vs. Strickland,Uriah Hall,W,Decision - Unanimous,5,Unanimous,Middleweight Bout,,mw
Bryan Barberena,2021-07-31,UFC Fight Night: Hall vs. Strickland,Jason Witt,L,Decision - Majority,3,Majority,Welterweight Bout,,ww
Uriah Hall,2021-07-31,UFC Fight Night: Hall vs. Strickland,Sean Strickland,L,Decision - Unanimous,5,Unanimous,Middleweight Bout,,mw
Alonzo Menifield,2021-08-07,,Ed Herman,W,Decision,3,Unanimous,,,lhw
Ciryl Gane,2021-08-07,UFC 265: Lewis vs. Gane,Derrick Lewis,W,KO/TKO,3,,UFC Interim Heavyweight Title Bout,,hw
King Green,2021-08-07,UFC 265: Lewis vs. Gane,Rafael Fiziev,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Ed Herman,2021-08-07,,Alonzo Menifield,L,Decision,3,Unanimous,,,lhw
Tecia Pennington,2021-08-07,UFC 265: Lewis vs. Gane,Angela Hill,W,DEC,3,Unanimous,,,wsw
Angela Hill,2021-08-07,UFC 265: Lewis vs. Gane,Tecia Pennington,L,DEC,3,Unanimous,,,wsw
Michael Chiesa,2021-08-07,UFC 265: Lewis vs. Gane,Vicente Luque,L,Submission,1,,Welterweight Bout,,ww
Manel Kape,2021-08-07,UFC 265: Lewis vs. Gane,Ode Osbourne,W,KO/TKO,1,,,,flw
Derrick Lewis,2021-08-07,UFC 265: Lewis vs. Gane,Ciryl Gane,L,KO/TKO,3,,UFC Interim Heavyweight Title Bout,,hw
Pedro Munhoz,2021-08-07,UFC 265: Lewis vs. Gane,Jose Aldo,L,Decision,3,Unanimous,,,bw
Vince Morales,2021-08-07,UFC 265: Lewis vs. Gane,Drako Rodriguez,W,Decision,3,Unanimous,,,bw
Jose Aldo,2021-08-07,UFC 265: Lewis vs. Gane,Pedro Munhoz,W,Decision,3,Unanimous,,,bw
Rafael Fiziev,2021-08-07,UFC 265: Lewis vs. Gane,King Green,W,Decision - Unanimous,3,Unanimous,,,lw
Ode Osbourne,2021-08-07,UFC 265: Lewis vs. Gane,Manel Kape,L,KO/TKO,1,,,,flw
Vicente Luque,2021-08-07,UFC 265: Lewis vs. Gane,Michael Chiesa,W,Submission,1,,Welterweight Bout,,ww
Karolina Kowalkiewicz,2021-08-07,UFC 265: Lewis vs. Gane,Jessica Penne,L,SUB,1,,,,wsw
Song Yadong,2021-08-07,UFC 265: Lewis vs. Gane,Casey Kenney,W,Decision,3,Split,,,bw
Fabio Cherant,2021-08-21,,William Knight,L,KO/TKO,1,,,,lhw
Kelvin Gastelum,2021-08-21,UFC Fight Night: Cannonier vs. Gastelum,Jared Cannonier,L,Decision - Unanimous,5,Unanimous,Middleweight Bout,,mw
Jared Cannonier,2021-08-21,UFC Fight Night: Cannonier vs. Gastelum,Kelvin Gastelum,W,Decision - Unanimous,5,Unanimous,Middleweight Bout,,ww
Brandon Royval,2021-08-21,UFC Fight Night: Cannonier vs. Gastelum,Alexandre Pantoja,L,Submission,2,,,,flw
Alexandre Pantoja,2021-08-21,UFC Fight Night: Cannonier vs. Gastelum,Brandon Royval,W,Submission,2,,,,flw
William Knight,2021-08-21,,Fabio Cherant,W,KO/TKO,1,,,,lhw
Alessio Di Chirico,2021-08-28,UFC Fight Night: Barboza vs. Chikadze,Abdul Razak Alhassan,L,KO/TKO,1,,Middleweight Bout,,ww
Dustin Jacoby,2021-08-28,,Darren Stewart,W,KO/TKO,1,,,,lhw
Abdul Razak Alhassan,2021-08-28,UFC Fight Night: Barboza vs. Chikadze,Alessio Di Chirico,W,KO/TKO,1,,Middleweight Bout,,mw
Gilbert Urbina,2021-08-28,UFC Fight Night: Barboza vs. Chikadze,Bryan Battle,L,Submission,2,,Middleweight Bout,,ww
Makhmud Muradov,2021-08-28,UFC Fight Night: Barboza vs. Chikadze,Gerald Meerschaert,L,Submission,2,,Middleweight Bout,,mw
Kevin Lee,2021-08-28,UFC Fight Night: Barboza vs. Chikadze,Daniel Rodriguez,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Ricky Turcios,2021-08-28,UFC Fight Night: Barboza vs. Chikadze,Brady Hiestand,W,Decision,3,Split,,,bw
JJ Aldrich,2021-08-28,,Vanessa Demopoulos,W,Decision - Unanimous,3,Decision,,,wflw
Sam Alvey,2021-08-28,UFC Fight Night: Barboza vs. Chikadze,Wellington Turman,L,Decision - Split,3,Split,Middleweight Bout,,mw
Daniel Rodriguez,2021-08-28,UFC Fight Night: Barboza vs. Chikadze,Kevin Lee,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Gerald Meerschaert,2021-08-28,UFC Fight Night: Barboza vs. Chikadze,Makhmud Muradov,W,Submission,2,,Middleweight Bout,,mw
Serghei Spivac,2021-09-04,UFC Fight Night: Brunson vs. Till,Tom Aspinall,L,KO/TKO,1,,Heavyweight Bout,,hw
Molly McCann,2021-09-04,UFC Fight Night: Brunson vs. Till,Ji Yeon Kim,W,DEC,3,Unanimous,,,wsw
Tom Aspinall,2021-09-04,UFC Fight Night: Brunson vs. Till,Serghei Spivac,W,KO/TKO,1,,Heavyweight Bout,,hw
Marc-Andre Barriault,2021-09-04,UFC Fight Night: Brunson vs. Till,Dalcha Lungiambula,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Dalcha Lungiambula,2021-09-04,,Marc-Andre Barriault,L,Decision,3,Unanimous,,,lhw
Khalil Rountree Jr.,2021-09-04,,Modestas Bukauskas,W,KO/TKO,2,,,,lhw
Modestas Bukauskas,2021-09-04,,Khalil Rountree Jr.,L,KO/TKO,2,,,,lhw
