hitter,team,ops,avg,hr,rbi,r,sb,pa
Carson Benge,New York Mets,0.718,0.256,9,30,43,11,316
J.P. Crawford,Seattle Mariners,0.718,0.24,11,35,46,3,391
Josh Bell,San Diego Padres,0.717,0.244,13,55,46,1,404
Victor Caratini,Milwaukee Brewers,0.716,0.25,8,34,24,0,266
Andrew McCutchen,Milwaukee Brewers,0.715,0.239,15,54,55,3,536
Trea Turner,Los Angeles Dodgers,0.714,0.265,11,40,66,21,449
Jarren Duran,Boston Red Sox,0.714,0.235,13,52,55,16,446
Andrew Benintendi,New York Yankees,0.714,0.237,12,47,40,2,336
Tyler Freeman,Cleveland Guardians,0.712,0.271,3,25,33,9,274
Jo Adell,Los Angeles Angels,0.711,0.239,17,57,45,5,407
Lars Nootbaar,St. Louis Cardinals,0.71,0.238,13,47,61,5,526
Matt Shaw,Chicago Cubs,0.708,0.236,6,27,29,8,220
Miguel Rojas,Miami Marlins,0.706,0.266,4,19,21,2,206
Mike Yastrzemski,San Francisco Giants,0.705,0.23,9,30,41,3,329
Austin Riley,Atlanta Braves,0.703,0.237,12,45,43,3,381
Bryson Stott,Philadelphia Phillies,0.702,0.247,9,48,43,19,389
Yainer Diaz,Houston Astros,0.702,0.263,9,36,27,0,285
Nick Gonzales,Pittsburgh Pirates,0.701,0.283,4,35,41,3,338
Nolan Arenado,St. Louis Cardinals,0.701,0.246,10,44,42,3,368
Rhys Hoskins,Philadelphia Phillies,0.701,0.201,10,37,30,1,287
Lane Thomas,Washington Nationals,0.701,0.23,7,30,28,7,268
Jackson Merrill,San Diego Padres,0.7,0.239,11,45,44,12,386
Brooks Lee,Minnesota Twins,0.7,0.239,14,50,41,4,368
Dansby Swanson,Atlanta Braves,0.7,0.225,15,57,61,13,422
José Caballero,Seattle Mariners,0.7,0.247,7,31,38,28,298
Matt Wallner,Minnesota Twins,0.699,0.195,9,21,24,1,211
Michael Conforto,San Francisco Giants,0.699,0.216,8,26,29,1,254
Mauricio Dubón,Houston Astros,0.698,0.259,7,41,37,2,341
Ildemaro Vargas,Washington Nationals,0.698,0.259,6,42,36,2,269
Tyler Stephenson,Cincinnati Reds,0.698,0.227,9,34,27,0,283
Colton Cowser,Baltimore Orioles,0.697,0.22,11,34,33,6,273
Jonathan India,Cincinnati Reds,0.697,0.238,11,49,69,4,576
Nico Hoerner,Chicago Cubs,0.696,0.265,5,44,54,19,465
Isaac Collins,Milwaukee Brewers,0.696,0.239,5,31,36,7,316
Colt Keith,Detroit Tigers,0.695,0.254,7,28,39,4,318
Leody Taveras,Texas Rangers,0.694,0.251,4,33,35,11,298
Alec Bohm,Philadelphia Phillies,0.693,0.254,10,53,36,2,394
Xander Bogaerts,Boston Red Sox,0.693,0.249,9,38,43,13,389
Michael Massey,Kansas City Royals,0.693,0.257,7,28,25,2,238
Keibert Ruiz,Washington Nationals,0.693,0.258,6,32,25,2,240
Harrison Bader,New York Yankees,0.693,0.235,8,28,28,5,241
Kyle Higashioka,New York Yankees,0.692,0.235,8,25,22,1,205
Mark Vientos,New York Mets,0.691,0.229,13,43,32,0,309
Jake Mangum,Tampa Bay Rays,0.691,0.293,2,21,26,18,253
Luke Keaschall,Minnesota Twins,0.69,0.26,3,25,34,12,276
Brayan Rocchio,Cleveland Guardians,0.689,0.251,5,36,33,11,331
Chase Meidroth,Chicago White Sox,0.687,0.262,6,24,47,5,374
